"cell_type","assay","replicate","file_role","file_id","extension","destination","url"
"HSC","ScriptSeq",1,"processed","ENCFF247FEJ","tsv","data/rna_seq/HSC_rep1_ENCFF247FEJ.tsv","https://www.encodeproject.org/files/ENCFF247FEJ/@@download/ENCFF247FEJ.tsv"
"HSC","ScriptSeq",2,"processed","ENCFF064MKY","tsv","data/rna_seq/HSC_rep2_ENCFF064MKY.tsv","https://www.encodeproject.org/files/ENCFF064MKY/@@download/ENCFF064MKY.tsv"
"HSC","ATAC-seq",1,"raw_bam","ENCFF250YAL","bam","data/bam/atac_seq/HSC_rep1_ENCFF250YAL.bam","https://www.encodeproject.org/files/ENCFF250YAL/@@download/ENCFF250YAL.bam"
"HSC","ATAC-seq",1,"processed","ENCFF662DYG","bigBed","data/atac_seq/HSC_rep1_ENCFF662DYG.bigBed","https://www.encodeproject.org/files/ENCFF662DYG/@@download/ENCFF662DYG.bigBed"
"HSC","ATAC-seq",2,"raw_bam","ENCFF958EPJ","bam","data/bam/atac_seq/HSC_rep2_ENCFF958EPJ.bam","https://www.encodeproject.org/files/ENCFF958EPJ/@@download/ENCFF958EPJ.bam"
"HSC","ATAC-seq",2,"processed","ENCFF255IVU","bigBed","data/atac_seq/HSC_rep2_ENCFF255IVU.bigBed","https://www.encodeproject.org/files/ENCFF255IVU/@@download/ENCFF255IVU.bigBed"
"CMP","ScriptSeq",1,"processed","ENCFF623OLU","tsv","data/rna_seq/CMP_rep1_ENCFF623OLU.tsv","https://www.encodeproject.org/files/ENCFF623OLU/@@download/ENCFF623OLU.tsv"
"CMP","ScriptSeq",2,"processed","ENCFF691MHW","tsv","data/rna_seq/CMP_rep2_ENCFF691MHW.tsv","https://www.encodeproject.org/files/ENCFF691MHW/@@download/ENCFF691MHW.tsv"
"CMP","ATAC-seq",1,"raw_bam","ENCFF711QAL","bam","data/bam/atac_seq/CMP_rep1_ENCFF711QAL.bam","https://www.encodeproject.org/files/ENCFF711QAL/@@download/ENCFF711QAL.bam"
"CMP","ATAC-seq",1,"processed","ENCFF832UUS","bigBed","data/atac_seq/CMP_rep1_ENCFF832UUS.bigBed","https://www.encodeproject.org/files/ENCFF832UUS/@@download/ENCFF832UUS.bigBed"
"CMP","ATAC-seq",2,"raw_bam","ENCFF620WGW","bam","data/bam/atac_seq/CMP_rep2_ENCFF620WGW.bam","https://www.encodeproject.org/files/ENCFF620WGW/@@download/ENCFF620WGW.bam"
"CMP","ATAC-seq",2,"processed","ENCFF343PTQ","bigBed","data/atac_seq/CMP_rep2_ENCFF343PTQ.bigBed","https://www.encodeproject.org/files/ENCFF343PTQ/@@download/ENCFF343PTQ.bigBed"
"CFUE","ScriptSeq",1,"processed","ENCFF667IDY","tsv","data/rna_seq/CFUE_rep1_ENCFF667IDY.tsv","https://www.encodeproject.org/files/ENCFF667IDY/@@download/ENCFF667IDY.tsv"
"CFUE","ScriptSeq",2,"processed","ENCFF655LMK","tsv","data/rna_seq/CFUE_rep2_ENCFF655LMK.tsv","https://www.encodeproject.org/files/ENCFF655LMK/@@download/ENCFF655LMK.tsv"
"CFUE","ATAC-seq",1,"raw_bam","ENCFF909QFQ","bam","data/bam/atac_seq/CFUE_rep1_ENCFF909QFQ.bam","https://www.encodeproject.org/files/ENCFF909QFQ/@@download/ENCFF909QFQ.bam"
"CFUE","ATAC-seq",1,"processed","ENCFF796ZSB","bigBed","data/atac_seq/CFUE_rep1_ENCFF796ZSB.bigBed","https://www.encodeproject.org/files/ENCFF796ZSB/@@download/ENCFF796ZSB.bigBed"
"CFUE","ATAC-seq",2,"raw_bam","ENCFF780SSI","bam","data/bam/atac_seq/CFUE_rep2_ENCFF780SSI.bam","https://www.encodeproject.org/files/ENCFF780SSI/@@download/ENCFF780SSI.bam"
"CFUE","ATAC-seq",2,"processed","ENCFF599ZDJ","bigBed","data/atac_seq/CFUE_rep2_ENCFF599ZDJ.bigBed","https://www.encodeproject.org/files/ENCFF599ZDJ/@@download/ENCFF599ZDJ.bigBed"
"Erythroblast","ScriptSeq",1,"processed","ENCFF342WUL","tsv","data/rna_seq/Erythroblast_rep1_ENCFF342WUL.tsv","https://www.encodeproject.org/files/ENCFF342WUL/@@download/ENCFF342WUL.tsv"
"Erythroblast","ScriptSeq",2,"processed","ENCFF858JHF","tsv","data/rna_seq/Erythroblast_rep2_ENCFF858JHF.tsv","https://www.encodeproject.org/files/ENCFF858JHF/@@download/ENCFF858JHF.tsv"
"Erythroblast","ATAC-seq",1,"raw_bam","ENCFF199ZJX","bam","data/bam/atac_seq/Erythroblast_rep1_ENCFF199ZJX.bam","https://www.encodeproject.org/files/ENCFF199ZJX/@@download/ENCFF199ZJX.bam"
"Erythroblast","ATAC-seq",1,"processed","ENCFF181AMY","bigBed","data/atac_seq/Erythroblast_rep1_ENCFF181AMY.bigBed","https://www.encodeproject.org/files/ENCFF181AMY/@@download/ENCFF181AMY.bigBed"
"Erythroblast","ATAC-seq",2,"raw_bam","ENCFF535OJU","bam","data/bam/atac_seq/Erythroblast_rep2_ENCFF535OJU.bam","https://www.encodeproject.org/files/ENCFF535OJU/@@download/ENCFF535OJU.bam"
"Erythroblast","ATAC-seq",2,"processed","ENCFF616EWK","bigBed","data/atac_seq/Erythroblast_rep2_ENCFF616EWK.bigBed","https://www.encodeproject.org/files/ENCFF616EWK/@@download/ENCFF616EWK.bigBed"
