"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050767","regulation of neurogenesis","438/15419","483/25730",0.906832298136646,1.51324956424255,13.9247186489091,6.1614874747271e-53,3.96799793372425e-49,7.19272590470774e-50,"29819/70827/12168/17756/14268/22596/227292/98733/13838/20720/55927/18627/59041/74117/12767/12227/171469/12316/21960/16579/271639/63953/19130/22782/18390/17863/20393/15214/15182/17118/21907/12484/13654/216049/20869/114606/216190/17172/16000/54712/53605/216344/15978/74053/15364/16971/16878/18016/13169/12323/13649/66713/14025/68585/76901/213084/320027/94091/118454/22416/22671/29869/22368/18208/83431/84653/22059/13385/216869/11484/18472/20317/18015/103743/18121/56013/15114/11858/14580/17762/11421/14599/108100/18109/15902/20666/15982/15228/18080/18755/15251/238276/19164/18222/12677/217715/66354/192119/18811/14634/20238/15904/20354/51791/56320/18212/21752/108138/18420/17755/16195/54713/22418/218877/26419/12166/12159/27374/73181/14180/14365/18039/70086/19645/18996/76965/13190/18163/20356/18606/17869/14083/328572/14375/12257/22422/140570/58234/239667/65079/12724/71751/104156/74143/15205/545156/56637/13490/224171/19876/268902/246048/21844/104015/50913/22129/13508/24001/21648/19317/17356/13388/27279/224617/22084/20681/240057/21926/12393/22339/106763/66515/83433/19280/13640/17158/11516/20983/30948/12385/12978/17190/17919/17344/17196/56708/225908/28000/14297/77125/19211/14102/20562/319740/18742/18011/71653/22326/22352/18128/99412/16870/24136/14725/13390/13392/228357/14061/17242/53872/18508/12064/20732/54485/228550/269344/12010/214968/16176/19262/12156/18088/15901/13555/21817/329559/12162/12561/269397/723951/15213/723950/20585/665113/18759/20482/67414/14359/20674/14173/229285/72162/20429/76089/24088/12904/16800/360213/20194/20360/229589/76893/18049/229715/16842/19055/54673/65086/320840/68151/17096/56711/320790/67490/13841/12017/381530/69807/56710/19266/12579/67299/13131/16975/230598/242620/230674/19268/56198/11426/433759/213541/83557/99982/13844/56381/21938/170731/70433/56717/69743/15206/15207/22062/15208/20481/20346/19699/66993/19744/57434/20423/16193/65254/100732/22629/14184/20563/14843/16590/16542/19712/52822/18096/22241/50849/12704/18125/13048/19047/16885/13047/11423/75788/74132/14254/17295/22413/19283/73191/319757/17294/19242/109880/14056/11921/20355/14461/22421/20893/19016/67784/20315/16653/79362/232560/11816/269878/21803/18223/13389/64383/17136/245886/20927/20430/244058/18213/269951/108071/14366/233489/23966/18479/17760/16202/13690/78748/11865/13631/14912/17173/319583/20845/211323/18536/234219/22341/18997/387216/17751/20312/12550/71955/76527/76454/20539/244667/18186/16412/22601/22068/16835/330908/235106/330914/57810/20660/21838/13489/330938/235402/20361/20320/26395/56741/12306/235472/66991/20616/23873/20187/22041/23999/20350/13138/235611/54214/13051/12387/67095/12774/12361/14168/14265/574437/27083/140571/16728/171207/18846/19820/58861/70237/18481/13193/22067/382253",438
"GO:0007264","small GTPase-mediated signal transduction","418/15419","461/25730",0.906724511930586,1.51306969920059,13.5932081174814,1.59183175018886e-50,4.5250531948384e-47,8.20249099881625e-48,"211673/26921/12825/74018/329165/26554/210293/227326/64143/98710/381293/19731/11352/78255/17926/226652/16456/93840/12663/226751/320404/21808/215821/73910/69288/110279/71709/70719/16000/17311/216344/215449/117600/216445/13867/12566/13169/319939/108686/68585/94176/11548/74563/216724/192786/72729/216805/71520/216831/18208/22059/83813/56486/380711/12928/216963/16706/18015/16400/18053/268480/12775/71966/11858/544817/18613/56699/14784/19157/21858/108100/192662/170758/11852/19878/22630/30955/238130/11855/56784/11845/20663/80837/104886/24071/217692/68339/212539/217944/14569/56349/56044/140580/193385/11607/20354/27261/14121/19418/14063/14062/110596/76041/20620/14165/71704/22418/64652/239027/11549/68813/246710/13449/19645/432879/24064/76108/223254/105445/223513/223601/105841/19354/72318/104445/20401/27373/105835/73167/12614/66725/223864/223881/69159/26934/14811/12929/65079/12053/77446/67657/12549/56297/19876/21844/16443/24001/21648/72536/22084/240057/12575/320484/80880/19732/54402/11629/14251/12488/22324/19765/19328/268970/240168/260409/20662/104215/75415/19877/12558/212307/19762/74002/106952/24066/18596/93687/20469/104252/19395/76088/107351/16889/74055/71085/107338/73728/56350/56392/11554/71653/20163/215632/18128/22325/19730/107746/11350/27387/99326/241308/227743/69601/227801/320271/76117/74194/227937/56508/108699/50884/16410/228355/228357/104418/19419/623781/228543/84092/75083/241694/20779/21817/228850/545481/99371/228998/20262/11608/14359/12428/24063/19338/74012/76089/213498/404710/16800/19769/229541/57912/18129/18049/18176/11853/109905/12977/99662/57257/214137/29815/71824/108058/214804/99167/53378/68016/11303/54366/18198/14745/329877/67299/13131/74754/100169/242687/16765/13844/22417/12540/110351/72754/14726/170731/269608/57295/230972/11603/19699/19744/231134/20563/74734/23881/56041/55985/320292/231532/22241/330171/26431/77407/333050/19415/17165/23912/56715/319974/54153/23921/231830/14673/75104/19353/19159/243362/12843/17295/320127/11517/67653/20166/70527/232201/232227/101314/70727/232341/243621/14235/14812/11857/13860/16653/58804/67425/232906/11816/260299/233046/74206/233071/233103/18220/19158/20430/75547/233489/75985/109689/56212/19226/66922/53322/70497/16797/233877/330662/76484/98845/102098/54126/17207/19414/234094/14272/211323/19053/244418/50768/50753/234353/78816/53978/17925/15368/13617/18032/14766/75687/12554/69581/19341/330863/244668/18186/16412/71544/13430/235041/319899/330914/57810/69632/12402/11806/244867/19684/270160/26395/102442/57874/12175/68178/19417/114713/74769/17532/208869/56289/11848/235611/67169/22376/75974/19337/385354/72065/236915/94190/236920/108155/12662/319642/27494/245666/382253",418
"GO:0050803","regulation of synapse structure or activity","389/15419","424/25730",0.917452830188679,1.53097226284161,13.4813124897331,2.10794403486261e-50,4.5250531948384e-47,8.20249099881625e-48,"29819/210933/20353/329165/18187/13869/13838/210293/53972/347722/19329/16560/226359/74117/16153/14270/103967/14130/93840/93842/19165/226778/22782/16798/17118/14360/216028/11735/64451/67112/18483/216227/54712/327814/108030/320150/117600/13169/12323/66713/68585/76884/20692/22416/216831/18208/77579/13385/50932/18472/237868/18015/12569/11418/217124/66610/56013/18013/53321/23829/77097/18750/217333/53413/108100/170758/11852/80913/19878/217480/238130/16981/319504/238205/320772/11845/59036/20471/20474/217692/19164/18222/399558/217826/73086/11651/140580/68404/18003/218194/94245/67252/20354/26564/56320/18212/17260/26556/17755/18708/554327/268709/71228/11843/22418/12294/382864/239027/14803/74480/268747/73181/19229/12934/18039/18530/105689/76965/239250/75409/76108/223254/15529/22631/319613/13196/239528/14083/107831/11838/378937/57028/18693/223701/58234/66725/106042/105827/223870/22142/11419/239719/70620/65079/27801/208643/13845/104156/16180/74143/74488/545156/56637/207683/58998/16423/68942/19876/11820/21844/16443/17356/21826/22084/240057/26416/74762/76936/21926/83433/70530/19280/13640/268980/56724/18189/75415/16573/19877/12558/100042150/15562/83814/17919/12405/225875/12631/18190/396184/13728/226016/22359/13380/19211/208922/20562/72832/73728/18011/227580/241263/14810/171171/11350/69601/66860/56508/269295/228357/12505/53872/12064/22343/228550/14178/18429/241638/19122/71436/228836/19281/241770/57138/19246/192167/208188/67414/26570/13175/72162/386750/76089/24088/20351/13636/11444/320747/76742/229715/229791/56376/99633/170757/320840/13841/242384/18391/18198/19266/15569/13131/16975/19268/107995/242662/230775/13844/12540/170731/65945/13542/11603/14362/50791/19699/19744/100732/12933/20563/54216/319387/52398/19249/13602/117146/13048/16885/19353/243725/30785/73178/27205/19242/20617/14804/12386/243499/13191/232227/22421/243548/16979/18430/259302/72895/269788/52163/22346/58991/211187/232370/107932/381813/14812/19277/232560/22192/97387/13400/11816/18223/80749/233067/233071/259277/272381/72961/140919/20430/22215/11441/20450/18213/29875/70178/108071/233489/56212/13631/12752/381921/56216/330662/16334/210274/14182/211323/211134/13004/26364/330814/212139/14766/234664/170571/112405/244667/16412/69137/14739/330908/15481/58235/16154/13489/13075/20361/17127/11487/17999/21983/20616/64085/270190/20350/13138/11848/80987/12387/12361/53328/14735/19655/574437/27083/16728/171207/245537/108155/108672/68792/70237/60367/18481/13193/27494/245666/382253/333605",389
"GO:0050807","regulation of synapse organization","380/15419","415/25730",0.91566265060241,1.52798495362864,13.2600692780618,1.04996800483535e-48,1.69044848778492e-45,3.06424872990107e-46,"29819/210933/20353/329165/18187/13869/13838/210293/53972/347722/19329/16560/226359/74117/16153/14270/103967/14130/93840/93842/19165/226778/22782/16798/17118/14360/216028/11735/64451/67112/18483/54712/327814/108030/320150/117600/13169/12323/66713/68585/76884/20692/22416/216831/18208/77579/13385/50932/18472/237868/18015/12569/11418/217124/66610/56013/18013/53321/23829/77097/18750/217333/53413/108100/170758/11852/80913/19878/217480/238130/16981/319504/238205/320772/11845/59036/20471/20474/217692/19164/18222/399558/217826/73086/11651/140580/68404/18003/218194/94245/67252/20354/26564/56320/18212/17260/26556/17755/18708/268709/71228/11843/22418/12294/382864/239027/14803/74480/268747/73181/19229/12934/18039/18530/105689/76965/239250/75409/76108/223254/15529/22631/13196/239528/14083/107831/11838/378937/57028/223701/58234/66725/106042/105827/223870/22142/11419/239719/70620/65079/27801/208643/13845/104156/16180/74143/74488/545156/56637/207683/58998/16423/68942/19876/11820/21844/16443/17356/21826/22084/26416/74762/76936/21926/83433/70530/19280/13640/268980/56724/18189/75415/16573/19877/12558/100042150/15562/83814/17919/12405/225875/12631/18190/396184/13728/226016/22359/13380/19211/208922/20562/72832/73728/18011/227580/241263/14810/171171/11350/69601/66860/56508/269295/228357/12505/53872/12064/22343/228550/14178/18429/241638/19122/71436/228836/19281/241770/57138/19246/192167/208188/67414/26570/13175/72162/386750/76089/24088/20351/13636/11444/320747/76742/229715/229791/56376/99633/170757/320840/13841/242384/18391/18198/19266/15569/13131/16975/19268/107995/242662/230775/13844/12540/170731/65945/13542/11603/14362/50791/19699/19744/100732/12933/20563/54216/319387/52398/19249/13602/117146/13048/16885/19353/243725/30785/73178/27205/19242/20617/14804/12386/243499/13191/232227/22421/243548/16979/18430/259302/72895/269788/52163/22346/58991/211187/232370/107932/381813/14812/19277/232560/22192/97387/13400/11816/18223/80749/233067/233071/259277/272381/20430/22215/11441/20450/18213/29875/70178/108071/233489/56212/13631/12752/381921/330662/16334/210274/14182/211323/211134/13004/26364/330814/212139/14766/234664/170571/112405/244667/16412/69137/14739/330908/15481/58235/16154/13489/20361/17127/11487/17999/21983/20616/64085/270190/20350/13138/11848/80987/12387/12361/53328/14735/19655/574437/27083/16728/171207/245537/108155/108672/68792/70237/60367/18481/13193/27494/245666/382253/333605",380
"GO:1903706","regulation of hemopoiesis","412/15419","457/25730",0.901531728665208,1.50440439578156,13.3044745877655,3.53498709102494e-48,4.55306337324012e-45,8.25326459778244e-46,"16171/98366/22637/107527/20846/12370/12487/12477/12912/16147/227326/16331/227358/13345/66262/21934/58181/16153/226421/20668/19264/214498/14645/381305/22164/240873/74748/320404/63953/15284/17221/17863/56484/12484/12142/14728/74048/83554/11776/16969/69754/17311/15978/83430/67588/67596/237625/16878/107829/22433/22778/17268/16160/15944/21414/16189/16362/16187/216799/104709/16859/18015/216984/20304/20308/20302/18102/217127/57765/19014/22780/19401/12775/57376/14534/20851/20848/16416/83796/18750/74370/75302/15902/20259/18035/20663/15251/268564/12192/14281/14744/238377/192119/13386/15519/217864/83924/14634/16323/238555/20677/18003/12522/18081/20963/26564/66494/13024/17260/11774/27220/18708/54169/328365/278672/66923/70564/12159/18950/56335/17387/239114/19229/13655/19645/21807/21943/18996/16197/14000/21847/75766/18383/211770/17869/93686/16852/223690/328572/57259/14375/74039/223770/77044/223870/22410/83797/11479/19411/105855/12703/20583/19090/21832/11450/12053/74143/277203/15163/56637/80859/14390/12394/19317/72057/13388/26416/268936/442827/57261/57757/15001/14312/14998/14960/100504404/15511/21926/83433/21950/20662/68027/12193/56468/14309/21417/22694/11789/15526/65113/16948/269023/16149/12978/170826/240354/19255/17131/620235/20227/81601/16952/21873/67155/14102/16825/332396/14462/16184/16169/67122/14582/11350/98952/319817/11480/241525/20375/228361/17242/19374/19373/22034/12505/16909/14308/17536/19419/12010/14118/77006/215653/16449/20667/16418/16658/241764/11486/74614/12608/67017/18534/14683/72147/16196/12349/56456/16183/60505/229323/16159/229473/50754/12479/22724/23897/19885/229615/18129/630146/229700/12977/16842/97086/19055/17096/252838/100201/192656/230126/30936/15977/12578/320713/16476/21349/17480/70088/230738/12986/16818/93760/12399/66193/99982/12262/56717/67087/70673/18762/12571/14190/74511/20535/66993/20423/16193/14184/74734/56744/23790/57816/14357/16923/15507/83766/170741/108723/11461/14255/15289/53621/19242/109880/317757/83408/65963/66058/15404/15405/68235/16950/232174/14461/17342/108655/211651/74244/15170/12504/16768/93675/70809/93694/12515/232413/21946/56457/69301/26365/21803/26362/22695/54624/22177/243910/12606/15469/387168/14256/50794/207952/14159/723840/22083/12310/16190/246779/233904/16409/11501/17173/14082/75863/234069/99375/14456/244349/69068/59009/16453/18997/234515/16168/21672/26992/74256/12400/234695/76527/22761/14087/56199/20586/23871/54698/72828/235320/16173/66317/214812/235497/19659/56492/81897/102791/11848/74443/20588/17002/21813/12387/12768/12772/209446/14460/74131/21947/320940/15354/723814/16186",412
"GO:0060562","epithelial tube morphogenesis","372/15419","407/25730",0.914004914004914,1.52521865473419,13.0607745942869,3.33154184342478e-47,3.57585491194259e-44,6.48189456904926e-45,"20671/14048/98711/241035/19335/12627/20353/12370/12765/22420/16147/13838/18505/14472/12043/14633/12767/75605/11352/18514/93840/269152/13800/21808/270685/13982/17684/64058/21412/14609/18119/216021/69718/74392/12215/16000/11783/216274/216285/14160/15364/21853/216527/12808/19058/16568/15110/22416/54710/15478/18208/11684/83429/21410/16869/21385/380718/18121/19014/19401/14534/69847/18612/15184/73293/22412/20682/207607/238057/11852/23967/18109/19878/22160/11622/66042/207304/21869/15375/20471/20474/15251/108156/19164/18654/65256/192119/20191/14634/56044/11607/21418/13614/17702/100503085/19206/105278/271127/16371/16372/17260/15229/14165/71228/15209/22418/12165/105450/12159/17387/73181/239122/14463/14365/24064/65100/22772/14573/239337/20356/56274/252973/14368/68588/11600/239405/14042/211401/17869/66398/18141/12614/140570/58234/106042/22337/22408/11482/19411/76779/21380/104156/74143/15205/13383/12374/73916/68146/19876/20997/13388/18763/22084/20681/18091/14312/18132/56299/13001/21926/12305/22339/71461/16772/21815/20472/381157/225164/14164/14815/20496/17128/18018/16973/19045/225876/12631/240641/15242/18504/226154/16814/12234/14179/24069/14462/18510/67122/18128/64930/11350/13805/16870/24136/11477/14725/15431/50884/12388/23796/17242/22034/12505/22431/107515/14260/20732/54485/12156/107586/15376/74533/20779/58231/20971/17979/99377/21420/12162/64138/16776/15213/11608/51938/20674/14173/24063/329628/100534287/20319/229600/18129/22414/229700/12977/18741/13645/99683/16842/114249/16911/23908/12042/18749/207920/329795/13841/26409/14595/21923/21687/20460/21846/100169/93760/29876/230824/269593/22417/13836/17769/67087/18707/433809/15208/20481/13542/20349/20423/67661/231214/20563/19664/79464/18595/16542/11839/15945/27428/18764/170823/116810/19303/21386/654470/30841/56334/14254/243362/17295/22413/319757/27205/56753/384452/108655/12391/78783/81896/67784/20315/19713/330409/22158/16974/17313/16653/19227/232906/22323/269878/21803/20733/21677/244058/17292/18479/22411/277939/16202/233651/11535/320878/21676/12850/16411/14183/54006/14174/13642/12826/94109/50768/12367/234366/13617/15245/67836/58198/16373/18021/77411/68270/18186/22601/18667/57246/19143/18854/102774/17127/19378/12160/13036/74025/15235/13138/11848/235626/636931/21813/12387/22289/11609/93761/14734/22773/19108/94275/11835/59024/12705",372
"GO:0034762","regulation of transmembrane transport","401/15419","449/25730",0.893095768374165,1.49032713666692,12.8174354794765,2.03190007933998e-44,1.86934807299278e-41,3.38853712479404e-42,"68421/433294/22218/13869/16367/98496/12283/227358/18627/18000/12043/269109/71111/19735/24014/11931/16963/18611/12372/98660/16524/16513/24012/13603/19165/72978/21808/22782/13982/18390/52906/18605/11846/432442/14360/11793/18821/11735/18245/216190/16000/216227/237542/268345/15978/237611/13867/12512/14783/19058/17846/70357/16533/69183/108072/22333/16189/16163/216739/246049/14799/118454/11840/16515/68460/57785/22318/16499/11932/50932/18436/215113/19062/11418/72508/75909/20913/12295/217154/15114/69847/16416/11421/14599/12299/54377/140723/18750/19739/16517/16518/26941/14813/68938/14226/23967/22630/30955/11622/66109/18760/238161/238276/11847/19164/12313/12061/68020/11651/70405/20191/11607/13614/75607/13488/20505/56085/69635/21752/218397/12919/14062/27220/18260/238871/74571/19056/105675/83997/72993/12289/18753/69179/12159/19229/19057/68073/16539/54375/17869/12300/105722/223864/22337/12297/110213/14811/11450/14167/13383/246133/16509/16522/16516/65962/12018/26416/18712/260297/21926/74011/12266/19274/57440/20541/225030/18754/104215/12314/225055/16867/30948/13367/140492/11555/83814/69597/27060/110355/12482/14126/13409/107221/20411/76055/80906/14873/433256/11554/12296/14810/11350/11636/13830/16519/53416/68795/18024/228071/12388/72401/23796/14061/20511/21825/56398/12335/56461/16176/19122/14225/228775/67135/20648/18803/16538/17395/241794/13616/16592/12349/18759/100503068/22065/102637511/16497/329693/213498/53814/13040/12373/18049/19260/80281/109905/68312/229715/20912/108058/109676/66815/19055/19218/17096/320790/65973/18124/19059/52076/545622/20530/18578/100102/242669/15444/332942/74777/69994/170731/56717/57320/16498/67389/11603/109552/12293/80979/19699/16511/13483/22612/80334/116873/17329/15945/56066/66383/100705/18125/57816/19247/18439/18438/14467/12739/100647/23921/14693/12389/17295/16846/109880/23925/58887/317757/83408/11517/20617/15277/66277/65106/58799/12391/108017/12288/68465/232341/15170/12504/381812/232430/14812/16523/20928/74741/81905/54378/12315/20167/16534/21803/11652/11944/233081/66438/84506/18301/56188/12028/56632/14814/16514/16502/17258/80982/57442/22228/233571/20866/19226/12310/18704/54208/18751/54376/12478/11937/12721/16334/16535/14170/16337/384783/11945/14081/74166/14065/13617/18997/20312/78688/66894/66733/57340/20539/13057/234847/16412/319239/16521/56379/72828/21838/11936/18854/18247/17999/14697/22063/11933/171429/20840/108737/20271/20264/14734/236794/14199/14168/14265/192176/14381/13405/245537/12766/11977/18823/66240/279561/57394/70008",401
"GO:0014706","striated muscle tissue development","435/15419","494/25730",0.880566801619433,1.46941979412854,12.8826075846792,2.88389751485801e-44,2.3215374994607e-41,4.20821361049676e-42,"14048/17681/12823/14200/433294/17700/70396/12633/12370/14369/12912/13869/11790/18505/227325/208727/14733/12043/72949/12227/17928/21952/21956/12292/19735/387210/12372/30928/51810/15284/21808/108000/19130/11910/22634/17684/21412/15214/15182/11793/78977/23828/215031/18821/14609/93759/13654/12534/20203/12833/15353/16000/17877/237560/327826/380664/237611/17904/216459/13867/17898/17268/245944/17168/11548/24052/103806/15110/22416/18858/214384/26398/77579/216850/216869/18015/21385/72508/11640/18121/217082/14422/19014/19401/14534/27419/15485/53321/15184/13207/19084/15902/20666/22160/79221/17286/15982/238161/12632/26443/64010/20471/20474/14281/66354/65256/192119/22632/20191/11472/17300/109620/13614/16468/666794/18740/105278/17260/26556/15357/68927/268697/75805/16392/286940/218772/353187/19056/59011/105675/100504518/12166/50527/12159/11546/11731/140781/21821/14180/24053/14463/11549/18092/239167/57784/19645/12224/18996/105787/22762/11600/12818/631797/17869/22402/17069/18810/17133/67040/73739/328572/19013/19094/106042/77044/56233/22410/208258/15370/268859/239719/17880/67451/26413/21380/77446/56637/64082/117606/667772/28185/13052/54720/13548/20997/13388/20681/66978/18091/224640/26416/74116/18712/17691/20182/22339/106628/17929/20541/14236/225115/381157/14465/13511/225288/11789/13653/15183/14164/14815/16948/70417/18596/11555/225638/17191/17128/17131/67655/11474/226041/13380/19091/19211/107765/24087/56642/12780/14179/18011/21416/18175/11554/22326/74103/18128/20181/70239/64930/11350/13805/17996/11477/241431/14725/228003/228019/11435/15430/22138/17868/22431/12064/54485/12335/214585/12848/74182/12156/14225/228785/228788/14049/12162/14464/723954/15213/20482/14173/56758/20429/17261/16905/110196/14613/77578/18176/12814/13609/59006/108058/18741/66815/16842/19055/56376/320790/329828/18507/21812/68016/246179/242620/16656/56198/68050/20544/93760/74777/12540/15530/18509/56717/63958/22062/20481/18671/20348/20423/19664/18935/24051/18595/21814/231602/74376/21386/21388/17906/13717/114142/12390/12389/17295/22413/319757/23925/66797/12922/26357/12180/53620/232174/12154/320502/108655/12391/74244/232334/12444/56449/16974/16523/20928/16653/21954/232854/243853/333654/21803/64383/20190/54631/66438/84506/71960/101568/15469/16514/17927/13009/11819/75547/17292/14159/116904/23966/18479/11865/20679/56312/71131/67773/14183/16002/14082/14174/13642/234072/17930/14182/211323/244431/80857/234214/11739/60406/16795/13617/17125/18032/12317/213435/16373/18021/22761/11459/112405/16412/22601/13857/57246/12023/57810/15481/53376/80288/17967/17127/22003/19378/12160/76365/68861/26927/270190/11848/14775/71472/22040/17897/21667/21813/13813/22437/12387/22439/236732/11609/22773/17772/13726/14381/13405/14605",435
"GO:0030900","forebrain development","422/15419","477/25730",0.884696016771488,1.47631029972958,12.8404971036245,3.55656654254049e-44,2.54492094821786e-41,4.61313718792678e-42,"71877/18993/12825/241062/18187/12912/13869/108147/12570/69080/77040/14472/16560/14633/16324/13167/12767/14270/21367/381290/12227/16565/381293/12316/56207/21960/83993/110648/98660/30928/19165/19130/15182/14360/21907/12140/11925/18541/71137/17172/11783/268345/327826/15364/54140/18016/18293/22778/13649/18423/68585/16568/14799/22416/20185/22187/77579/83431/216850/11932/18472/237847/12928/18015/12569/16869/18121/217124/140486/192157/19401/15114/14534/170758/17977/238057/15902/15228/21869/20605/18080/15251/72338/319565/56217/19164/18222/14281/76260/14836/192119/58208/668158/105387/207615/14634/16323/22151/73710/21418/218194/15904/75420/13488/18740/18014/18212/67269/13162/13865/723967/18420/67263/16392/14165/54713/21974/218772/328365/15209/22418/12166/18183/12159/18424/56335/21821/18039/18092/18996/75409/13190/65100/110082/20356/666173/14042/76510/223697/223701/22422/58234/66725/67760/22408/22142/239719/67203/17250/12929/65079/224045/12667/13845/20462/15205/268882/56637/68146/18736/19876/268902/67102/11820/50913/14450/17356/30957/74762/18131/20359/19280/65960/11682/94224/20473/12558/67199/225523/15531/12978/70223/19434/20689/12631/14682/13380/19091/19211/15242/20562/72832/226162/14179/21416/13797/14810/16871/18128/64930/69601/16874/16870/24136/320343/18227/21375/94229/110876/73668/14725/13390/13392/545428/18012/269295/13046/17242/20511/18508/22174/12010/214593/18457/12156/18795/59030/228662/24128/12995/13555/20779/329559/21420/16536/59058/12918/14013/51938/14359/20674/14173/329628/26570/67749/13175/70839/76089/70762/12032/11444/18049/22414/16490/99512/11924/18741/16842/16875/19218/252838/320790/230025/18992/433693/18507/18124/246179/21350/14745/100182/18028/67299/13131/16975/242620/15572/20460/68273/20525/76574/18991/433759/93760/99982/13844/22417/15565/70433/269610/22062/15208/20481/20346/20349/19699/20423/21335/14184/15194/17701/20563/19664/12425/14843/13839/231380/77630/231580/23790/21386/16873/654470/30841/20602/19384/100609/77053/22255/19353/14842/13395/114142/73191/18506/319757/243743/66797/14056/109648/11826/14602/11922/11921/68169/24113/14461/18844/22421/74244/20315/723944/319352/16485/16974/16653/232906/22594/232975/26362/18223/22177/11803/12028/16502/56847/11819/18479/244152/233552/20133/16409/14183/57752/12176/20287/20664/244329/320165/14182/171167/211323/50768/18536/12367/16795/18032/58198/244585/67378/14766/244667/18186/110350/20586/11804/67703/57810/235180/64011/15481/13489/17967/330938/75717/235380/20466/20361/102774/235439/19378/70598/22771/19823/20187/81907/11848/235626/13813/13051/12387/209012/22773/14168/18846/13405/11878/94190/22589/11977/13193/211612",422
"GO:0030098","lymphocyte differentiation","427/15419","486/25730",0.878600823045268,1.46613912555644,12.6865568602106,6.72140500738291e-43,4.3285848247546e-40,7.84635595072384e-41,"22637/107527/16182/20849/14369/12487/12477/54167/14367/16147/210293/16331/12043/16153/20668/19264/15064/11352/381305/22164/240873/18514/14127/17085/27218/30925/74748/320404/63953/15284/17221/12902/21929/17863/18605/210757/103213/56484/12484/11793/12142/14728/19156/74048/11634/50723/20869/21423/11776/16969/69754/327799/15978/56480/20852/83430/67588/67596/56218/22433/54125/22778/14025/16199/94176/16160/16428/21414/16189/16362/216742/216799/20185/104709/22059/56310/50932/16859/103743/217127/57765/22780/19401/12775/57376/14534/20851/20848/15184/83796/15985/107817/77727/58240/11491/15902/58185/79221/11622/27362/207304/20663/268564/12192/53314/22095/14744/192119/58208/22632/15519/16450/320910/56048/14634/238555/20677/16364/12522/23882/20963/18030/66494/432763/16198/13024/13039/108138/11774/18708/21974/19056/328365/278672/66923/12159/18950/56335/17387/73902/56532/19229/105440/13655/110168/321019/19219/16197/14000/20442/17068/17305/16852/328572/14375/74039/77044/56233/22410/22408/74775/83797/105855/12703/19090/12053/74143/67657/80859/18736/15976/12394/12458/72057/13388/12018/15361/18771/57261/57757/15001/14312/14998/14960/100504404/14962/12393/224860/20230/21950/22324/20662/12193/56468/17685/21417/14370/22694/11789/13653/65113/269023/16149/240354/19255/17131/18018/27060/56708/20227/81601/74126/17283/12482/16952/67155/16452/14102/16889/15242/15201/18089/93685/332396/227525/14462/16184/16169/12151/67122/14347/64930/241296/11350/319817/16420/13482/20687/11909/19271/20375/228361/17242/19374/19373/12505/19419/54485/22174/12010/73338/17289/16175/16176/77006/18503/20667/16658/11486/277360/18534/72147/16196/21985/56456/16183/60505/16159/229473/12479/20351/76022/22724/16194/19885/18129/19260/16842/252838/320790/12557/192656/107568/100124457/16157/230126/30936/21949/20104/15977/12578/16847/230738/16818/16792/93760/12399/22417/56717/21942/19934/70673/18762/12571/14190/20535/66993/20423/16193/14284/19664/74734/22165/16590/56744/14357/16923/14371/15507/83766/16848/108723/11461/14255/15289/75725/16846/109880/14056/317757/16205/83408/16162/16950/232174/108655/211651/17474/56619/15170/12504/16768/381812/101142/12515/21946/19698/56457/12051/18987/21803/26362/243910/12611/272382/387168/14256/12028/68137/207952/12144/723840/11833/16190/12478/246779/20737/11501/244234/17173/14082/75863/319583/24099/234069/14456/59009/16161/16453/16168/17095/21672/26992/74256/54672/382051/12400/234695/18021/234779/15900/14087/270110/20586/54698/214162/12500/14012/235320/16173/18985/11920/214812/19883/15379/12047/81897/321006/11848/20588/102545/21813/13813/12387/12769/12772/54644/75974/11740/74131/21947/320940/15354/16186/11977/16431/12229",427
