"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006935","chemotaxis","369/11813","413/15419",0.893462469733656,1.16619807168571,6.19654769468504,1.49417454297906e-11,4.65663804365045e-08,3.6201803962143e-08,"27494/19229/215999/13482/13841/93725/223601/16172/14173/13655/269608/18003/13051/73710/18810/13043/16170/20302/70839/19649/57257/68119/18187/12977/16803/20750/18707/18128/20296/20310/18578/238130/19252/21844/12773/19271/71436/20354/15234/16414/104099/238871/16952/21803/84112/18761/20440/432867/16398/20375/19141/16971/13640/94176/257632/22341/16590/13614/13642/83964/12374/12986/277360/20303/11600/20963/217835/14388/63873/227541/18717/20198/654459/17127/102545/17250/11820/14254/399558/11487/19204/17096/13035/53416/56744/193385/22324/18596/18438/18750/13616/216869/58861/20187/16410/108151/109700/211323/98365/18600/14127/20358/13508/19241/22253/101540/11491/13618/321019/18753/21825/17174/17295/14159/14066/14289/16416/20352/14164/13123/20355/16985/20908/12774/20343/68667/16176/20346/12765/243743/18186/14747/56792/105722/12978/27218/22084/19876/21983/21375/54324/12145/214968/668218/28240/56838/102103/18133/16948/20351/18606/16149/268373/20353/11689/78560/16542/23790/319430/20300/13143/12182/12458/16409/16159/20308/18591/237038/58217/13609/12766/20563/270152/64095/17395/20312/12802/12652/13586/15370/20564/20315/14158/16007/13052/20947/20359/14134/15200/59289/270190/20210/54199/13836/73178/14945/218877/252837/18081/16415/83430/50501/18846/12721/237847/654465/66146/11806/22339/14182/22422/23795/16842/70031/383563/108737/18595/18705/107515/21808/140579/110168/12267/12642/53404/170756/170758/16854/19242/19277/15289/26413/56212/12554/11601/14172/17390/12775/50930/269878/64058/14083/384569/12778/15945/16189/20356/18590/14725/268902/12273/16005/83433/53357/72349/20583/330122/68050/21828/56221/12168/12769/14745/26903/11652/66711/140571/14268/12771/58218/14178/13479/12159/14175/20290/71660/18654/20254/18183/320701/67272/18213/13587/12768/56066/232983/17101/14179/19353/14165/240873/16963/19255/13615/20562/74748/17524/20295/30955/14068/20361/11629/380705/20350/20496/109778/80903/105855/68992/12767/27226/65079/105689/12772/12266/17329/12215/93719/14063/16564/20348/56069/445007/14764/13075/20201/100039672/12912/57342/17242/12927/381493/20305/17319/13805/20306/18997/27007/76527/12310/118453/21943/18208/11603/12777/16841/64074/20357/68606/76763/14456/18720/13617/11876/18760/17925/20349/14825/18711/14205/230972/14869/20423/22416/11608/54713/20202/107338/15978",369
"GO:0007409","axonogenesis","418/11813","472/15419",0.885593220338983,1.15592667945541,6.22724100452081,1.57874789564922e-11,4.65663804365045e-08,3.6201803962143e-08,"217692/18227/17128/17260/13841/14462/16911/19280/19206/12043/14025/11787/22352/11426/21960/73710/22330/72333/13043/17196/19649/223435/226251/18187/18128/54712/16780/66797/27279/21844/13848/18039/19271/71436/20354/13367/108655/53625/18096/16971/13640/13723/231876/12399/13839/12286/13614/13642/16202/13654/14009/18163/14042/11785/11735/16412/171171/78808/18717/13518/20482/654470/18508/11820/50769/399558/18028/16885/210801/24001/11921/56637/22323/18080/114873/21974/12661/18750/74244/13844/13616/16001/20430/74117/20187/83431/24046/244667/75770/108151/16776/18222/20358/23945/15982/75847/13508/319974/110596/16401/22253/11491/11658/16772/14634/68585/338362/12550/18479/20352/13924/20355/226519/330914/13430/16554/12774/17755/73205/11878/20346/243743/18186/12808/319740/67095/12978/76260/22084/19876/231044/21375/56336/545156/18738/12162/107449/18612/214968/68810/13800/19274/24136/75409/21838/54004/13845/12614/80883/20351/106042/20353/76884/17756/13837/107934/12569/214469/52822/70827/17760/11858/59058/19091/107751/360213/12167/214585/16392/319504/13131/13169/14810/20466/14026/20563/239667/56386/20564/20315/14451/216344/69597/17762/11461/20359/16871/16572/77630/270190/13641/16773/218877/16876/13175/108699/18846/93691/14633/237847/77018/15229/93840/22339/77300/18481/22422/75788/171207/16574/17274/14472/12561/107515/21808/15394/16872/228357/12570/59041/53404/270058/16870/58235/170758/16573/65254/723967/19277/12488/18032/104360/320150/16774/11444/232906/72320/244152/18124/13728/20595/23999/269878/14432/14083/384569/11816/17136/14168/22223/20356/70433/67299/14725/19713/268902/13838/16005/233489/329628/14251/53883/14587/12168/20429/17751/67784/17967/68404/380684/54214/140571/14183/140570/14268/17986/18007/65086/230857/76499/235472/320027/18131/18223/71751/107448/12704/229791/58208/18212/330938/17181/22129/18213/12064/319757/14179/19353/18121/13615/20562/80297/15228/14297/18209/104382/665700/20361/73991/20350/16869/71653/19247/11350/13176/22439/70430/545902/213084/382253/20869/23928/17919/12767/224105/11789/65079/240057/24113/105689/77579/57764/71955/11804/110532/22368/241568/13690/13193/12215/229715/16564/20348/18992/53321/22421/74132/13639/18164/12912/30957/13636/17754/12424/16728/244058/26395/11924/22152/68802/12799/99412/13489/13395/19211/18997/14184/12552/18040/12805/109880/229285/18208/16782/11603/20357/18998/99512/269116/21907/13617/16779/22067/19283/11876/12558/12904/14573/19164/246048/386750/15285/20320/20349/230735/12386/244682/353237/20616/245537/56177/18424/13638/26565/723950/20423/14365/21367/22416/225743/76965/22772/328572/54713/19699/50850/236794/271639",418
"GO:0050807","regulation of synapse organization","341/11813","380/15419",0.897368421052632,1.17129634167532,6.11943981826764,2.29278091760239e-11,4.65663804365045e-08,3.6201803962143e-08,"217692/27494/19229/83814/17260/13841/22142/13631/56376/19280/69601/239528/232227/66725/18003/26364/76089/99633/22192/12934/210293/16423/18187/16443/54712/100042150/238130/14360/21844/117600/18039/71436/20354/18483/16560/13640/56508/94245/104156/11735/14270/73086/58234/16412/171171/259302/170757/24088/239027/330814/22359/17127/66610/54216/16180/11820/399558/140580/11487/243499/70237/18189/70530/16885/347722/56637/21826/74480/52398/208188/223701/22631/11838/18750/13844/13196/20430/74117/228836/14362/244667/211323/19246/18222/242384/50791/29875/15529/66860/103967/26570/19249/16981/245666/68585/65945/26416/18198/93842/330908/112405/17755/382864/74762/226778/71228/22084/19876/18708/21983/223254/545156/30785/14130/21926/75409/217124/70178/13845/14766/20351/106042/330662/20353/76884/15569/12569/232370/17999/243548/14804/27205/319504/13131/319387/19329/14739/13169/14810/13400/20563/77097/18391/19266/20450/56013/18190/396184/97387/270190/18011/211134/75415/73178/12752/17118/13175/243725/93840/80749/18481/14182/16975/171207/67252/218194/228357/18430/52163/18429/58235/170758/16573/64451/19242/68942/108100/19277/12361/56212/320150/11444/58998/13728/217826/223870/12505/269295/14812/268980/20471/241638/19744/14083/11816/12323/22782/13838/233489/83433/29819/66713/50932/59036/74488/320840/241263/68404/192167/53872/12631/26556/13191/60367/107831/14178/230775/18223/381813/11651/242662/72895/229791/14803/18212/16153/18530/18213/70620/105827/76742/80987/12064/259277/19353/72162/100732/20562/12387/18015/13385/20361/228550/22343/20350/320747/19281/333605/11350/320772/11441/57138/107932/329165/11852/233071/382253/269788/378937/17919/16154/72832/65079/19268/19165/105689/77579/210274/16979/27801/20474/226359/17356/67414/13193/11843/229715/53413/13004/53321/22421/12540/210933/22346/272381/67112/23829/226016/12933/64085/13636/16728/13602/170731/327814/19878/216028/268709/207683/13489/20692/19211/19877/16798/239719/208922/18208/11603/12294/268747/108030/27083/574437/212139/13048/13869/11418/217333/12558/237868/73181/69137/19164/386750/225875/211187/68792/26564/12386/53972/216831/20616/217480/245537/170571/22416/227580/108155/76965/13380/19699",341
"GO:0042330","taxis","369/11813","414/15419",0.891304347826087,1.16338116813091,6.09909543453484,3.30842739692505e-11,4.68212088316604e-08,3.63999135751072e-08,"27494/19229/215999/13482/13841/93725/223601/16172/14173/13655/269608/18003/13051/73710/18810/13043/16170/20302/70839/19649/57257/68119/18187/12977/16803/20750/18707/18128/20296/20310/18578/238130/19252/21844/12773/19271/71436/20354/15234/16414/104099/238871/16952/21803/84112/18761/20440/432867/16398/20375/19141/16971/13640/94176/257632/22341/16590/13614/13642/83964/12374/12986/277360/20303/11600/20963/217835/14388/63873/227541/18717/20198/654459/17127/102545/17250/11820/14254/399558/11487/19204/17096/13035/53416/56744/193385/22324/18596/18438/18750/13616/216869/58861/20187/16410/108151/109700/211323/98365/18600/14127/20358/13508/19241/22253/101540/11491/13618/321019/18753/21825/17174/17295/14159/14066/14289/16416/20352/14164/13123/20355/16985/20908/12774/20343/68667/16176/20346/12765/243743/18186/14747/56792/105722/12978/27218/22084/19876/21983/21375/54324/12145/214968/668218/28240/56838/102103/18133/16948/20351/18606/16149/268373/20353/11689/78560/16542/23790/319430/20300/13143/12182/12458/16409/16159/20308/18591/237038/58217/13609/12766/20563/270152/64095/17395/20312/12802/12652/13586/15370/20564/20315/14158/16007/13052/20947/20359/14134/15200/59289/270190/20210/54199/13836/73178/14945/218877/252837/18081/16415/83430/50501/18846/12721/237847/654465/66146/11806/22339/14182/22422/23795/16842/70031/383563/108737/18595/18705/107515/21808/140579/110168/12267/12642/53404/170756/170758/16854/19242/19277/15289/26413/56212/12554/11601/14172/17390/12775/50930/269878/64058/14083/384569/12778/15945/16189/20356/18590/14725/268902/12273/16005/83433/53357/72349/20583/330122/68050/21828/56221/12168/12769/14745/26903/11652/66711/140571/14268/12771/58218/14178/13479/12159/14175/20290/71660/18654/20254/18183/320701/67272/18213/13587/12768/56066/232983/17101/14179/19353/14165/240873/16963/19255/13615/20562/74748/17524/20295/30955/14068/20361/11629/380705/20350/20496/109778/80903/105855/68992/12767/27226/65079/105689/12772/12266/17329/12215/93719/14063/16564/20348/56069/445007/14764/13075/20201/100039672/12912/57342/17242/12927/381493/20305/17319/13805/20306/18997/27007/76527/12310/118453/21943/18208/11603/12777/16841/64074/20357/68606/76763/14456/18720/13617/11876/18760/17925/20349/14825/18711/14205/230972/14869/20423/22416/11608/54713/20202/107338/15978",369
"GO:0050803","regulation of synapse structure or activity","348/11813","389/15419",0.894601542416452,1.1676848541877,6.06276045739342,3.84221309959465e-11,4.68212088316604e-08,3.63999135751072e-08,"217692/27494/19229/83814/17260/13841/22142/13631/56376/19280/69601/239528/232227/66725/18003/26364/76089/99633/22192/12934/210293/16423/18187/16443/54712/100042150/238130/14360/21844/117600/18039/71436/20354/18483/16560/13640/56508/94245/104156/11735/14270/73086/58234/16412/171171/259302/170757/24088/239027/330814/22359/17127/66610/54216/16180/11820/399558/140580/11487/243499/70237/18189/70530/16885/347722/56637/21826/74480/52398/208188/223701/22631/11838/18750/13844/13196/20430/74117/228836/14362/244667/211323/19246/18222/242384/50791/29875/15529/66860/103967/26570/19249/16981/245666/68585/65945/26416/18198/93842/330908/112405/17755/382864/74762/226778/71228/22084/19876/18708/21983/223254/545156/56216/30785/14130/21926/319613/75409/217124/70178/13845/14766/20351/106042/330662/20353/76884/15569/12569/232370/17999/243548/14804/27205/319504/13131/319387/19329/14739/13169/14810/13400/20563/77097/18391/19266/20450/56013/18190/396184/97387/216227/270190/18011/211134/75415/73178/12752/17118/13175/243725/93840/80749/18481/14182/16975/171207/67252/218194/228357/18430/52163/18429/58235/170758/16573/64451/19242/68942/108100/19277/12361/56212/320150/11444/58998/13728/217826/223870/12505/269295/14812/268980/20471/241638/19744/14083/11816/12323/22782/13838/233489/83433/29819/66713/50932/59036/74488/320840/241263/68404/192167/53872/12631/26556/13191/60367/107831/14178/230775/18223/381813/11651/242662/72895/229791/14803/18212/16153/18530/18213/70620/105827/76742/80987/12064/259277/19353/72162/100732/20562/12387/18015/13385/20361/228550/22343/20350/320747/19281/333605/11350/320772/11441/57138/107932/329165/11852/233071/382253/269788/378937/17919/16154/72832/65079/19268/240057/19165/105689/77579/210274/16979/140919/27801/20474/226359/17356/67414/13193/11843/229715/53413/13004/53321/22421/12540/210933/22346/13075/272381/67112/23829/226016/12933/64085/13636/16728/13602/170731/327814/19878/216028/268709/207683/13489/20692/19211/72961/19877/16798/239719/208922/18208/11603/12294/268747/108030/27083/574437/212139/13048/13869/11418/217333/12558/237868/73181/69137/19164/386750/225875/211187/68792/26564/12386/53972/216831/20616/217480/245537/170571/22416/227580/108155/76965/13380/19699",348
"GO:0007389","pattern specification process","395/11813","447/15419",0.883668903803132,1.15341495198006,5.95748287008016,1.17370232526852e-10,1.19189471131018e-07,9.26607098896197e-08,"17128/17260/18845/71870/17268/20481/19206/21813/27412/14173/23872/20893/13172/66743/21815/73668/27428/18187/18128/72475/19664/320878/68151/14734/18741/13614/50884/65256/13654/14042/81898/14609/235320/380614/18129/71458/230824/17127/26407/15242/654470/18508/13411/213575/20319/19411/14048/20473/74453/11838/24069/81896/71137/17684/30841/16776/17305/218850/544696/67122/17130/75691/17125/14634/20671/269941/20997/17300/21380/14164/67087/16373/16973/17129/20346/18186/12808/18749/71233/76260/216285/19876/110082/18764/67685/21375/110796/12162/11481/15205/11308/24136/13198/23796/12705/18514/15214/19719/12614/14766/106042/79362/14367/23805/140484/22413/244585/11764/68922/233651/18503/12166/15405/59058/433809/70028/16409/12167/22158/16392/212712/18510/11477/15245/207607/21417/15375/327826/21415/16658/232174/231050/12156/15213/14451/16871/65973/11480/14313/13641/54485/54562/69327/14633/15229/93840/15376/15258/320145/17536/14182/12020/22422/212937/76365/16842/231214/68713/14472/240590/15394/17292/15251/12151/228357/18423/15257/57810/76779/21386/16870/68897/100503311/74019/104346/12005/108909/57246/100121/230909/70122/20460/12006/12227/11819/21388/12627/16974/16848/11482/15400/11835/22420/22138/225876/15404/269878/20471/13865/436022/15207/235542/13082/14725/268902/84653/241062/14836/13390/53883/22771/66042/12168/15208/20472/15414/15431/232791/21407/16825/18012/214162/21812/67968/14183/15395/17702/56184/226352/226162/15413/17126/24087/12159/22411/11695/68146/15412/16147/12153/241324/18183/231413/18530/320202/214575/21418/106633/319757/17240/14179/14174/14165/19335/18121/17286/194908/12387/19821/55927/15228/16348/22431/22414/24063/26419/20350/16869/19726/18505/17701/74934/67694/320772/116810/240888/15432/16917/207165/107586/233812/15430/16814/18552/277939/56334/105278/11789/29871/240057/19165/24113/380718/76166/98376/20465/22408/15407/432611/12266/59024/19378/17537/13797/21410/16371/20348/13590/19434/381738/22421/22289/16372/15194/22632/71227/12590/21667/171567/68270/107587/21821/12667/110350/75826/19763/17285/56198/209448/13389/17293/19090/13813/13805/22658/51938/382089/13388/74025/242620/14561/11694/109065/18509/73916/15401/17427/83675/13617/13869/21892/15422/20890/18504/14463/72938/210510/13392/50916/239122/14573/66993/19164/15285/67661/26564/213081/23967/103889/18119/18553/70465/18424/20664/15425/216274/70495/170765/20423/17765/22416/15427/13380/22772/328572/214766/71950/54713/20855/19699/13798/15437/17172/21385/71860",395
"GO:0034329","cell junction assembly","430/11813","491/15419",0.875763747454175,1.1430966919492,5.83244682999979,3.52190865180665e-10,3.06556991649399e-07,2.38324645610976e-07,"217692/11472/16795/19229/83814/17260/13841/12557/18845/13631/56376/110829/19280/12043/20194/232227/260305/26364/110279/11426/22330/18810/219228/12385/13043/76089/99633/22192/12934/210293/13823/54712/14260/236915/21961/100042150/54725/238130/66797/117600/19271/71436/20354/18483/21872/16480/105352/11856/16398/93742/16971/13640/18755/12286/13642/83964/75909/227937/16413/14609/14270/94190/19262/58234/16412/69693/171171/19272/259302/63873/12389/13518/170757/24088/238276/330814/22359/56173/17127/215449/18191/330222/66610/54216/16180/11820/399558/140580/243499/70237/18189/14758/56637/12695/21826/74480/208188/108911/18750/320873/13844/107581/16456/74117/12562/17920/16410/14362/211323/19246/22034/18222/242384/50791/20779/29875/13508/15529/109711/103967/20971/19249/16981/245666/18844/68585/65945/50768/12550/18198/330908/53378/108903/16416/237979/16373/226519/56229/17755/16176/382864/12527/243743/18186/74762/226778/71228/19876/18708/21983/223254/14787/69524/19303/17131/21926/23796/75409/217124/77057/21838/13845/20351/106042/58187/330662/18606/20353/76884/13837/15569/19823/14367/16542/23790/232370/11853/243548/21894/107746/106347/14804/12217/27205/56233/18591/26921/319387/19329/14739/13169/14810/20743/230661/20563/12555/17886/18391/19266/20450/56013/14158/20186/18190/17762/11461/26875/396184/270190/13836/18011/13641/211134/75415/16402/13175/12821/18846/243725/16150/22339/80749/14182/67703/171207/12561/228357/14610/54135/18430/15257/105522/231830/18429/14404/14086/58235/170758/208177/18571/21687/19277/17913/56212/16774/12554/11444/21388/58998/11482/69697/223870/269295/14432/18613/20471/241638/14083/16523/14168/17387/67299/73934/72349/20583/14251/74318/29819/67451/20411/67784/74488/320840/16825/77596/140571/77569/140570/192167/14268/53872/12631/226352/60367/353310/107831/244895/76499/230775/18223/12165/22411/16475/72895/18212/18183/18213/70620/105827/80987/12064/109905/19353/12741/20562/12387/11815/71908/18772/192198/235431/13385/243312/22343/320747/19247/11350/320772/57138/107932/56460/329165/11421/75677/233071/269788/378937/72832/224105/104010/22239/12560/65079/11474/23836/105689/210274/76707/16979/60595/18260/27801/20474/226359/108072/75739/17356/13193/17475/229715/70008/12563/53413/53321/22421/20874/12540/210933/272381/18164/12933/70546/22388/635396/246316/64085/16728/192897/252973/330790/19878/216028/13383/218518/268709/225872/207683/13489/18417/19211/12552/19877/16798/208922/18208/11603/268747/108030/68606/14613/18720/27083/574437/269116/353155/212139/217335/13048/13869/11418/14799/20104/14619/217333/13605/270163/12558/69137/386750/225875/211187/68792/20320/109333/226422/244682/14397/245537/73608/22416/227580/108155/76965/64930/13380/12738/70737/56492/19699/215654",430
"GO:1901888","regulation of cell junction assembly","261/11813","288/15419",0.90625,1.18288908405993,5.67063213408815,4.26125619108515e-10,3.24547924653522e-07,2.52311221840568e-07,"217692/19229/83814/17260/13841/13631/56376/110829/19280/20194/232227/260305/26364/11426/22330/76089/99633/22192/12934/210293/14260/100042150/238130/66797/117600/19271/71436/20354/18483/21872/105352/11856/16971/13640/18755/16413/14609/14270/19262/171171/259302/12389/170757/24088/330814/22359/17127/215449/66610/54216/16180/11820/399558/140580/243499/70237/18189/14758/56637/21826/74480/208188/108911/18750/13844/107581/16456/74117/14362/211323/19246/18222/242384/20779/29875/15529/20971/19249/16981/245666/68585/65945/50768/18198/330908/16373/17755/16176/382864/18186/74762/226778/71228/19876/18708/21983/223254/21926/23796/75409/217124/21838/13845/20351/106042/330662/18606/20353/76884/13837/15569/19823/14367/16542/23790/232370/243548/107746/14804/27205/26921/319387/19329/14739/14810/20563/17886/18391/19266/20450/56013/18190/396184/270190/13836/18011/211134/75415/13175/243725/16150/22339/80749/14182/171207/228357/18430/105522/18429/58235/170758/208177/21687/17913/56212/11444/21388/58998/11482/69697/223870/269295/20471/241638/14083/17387/72349/20583/14251/74318/29819/67451/74488/320840/16825/77569/192167/12631/226352/60367/107831/244895/76499/230775/18223/12165/72895/18212/18213/70620/105827/80987/12064/109905/19353/12741/20562/12387/11815/13385/22343/320747/19247/11350/320772/57138/107932/11421/233071/269788/378937/72832/65079/105689/76707/16979/27801/20474/17356/13193/229715/70008/53413/22421/20874/210933/272381/12933/64085/16728/19878/216028/268709/207683/19211/19877/16798/208922/18208/11603/268747/108030/68606/27083/574437/212139/13048/11418/20104/217333/69137/386750/225875/211187/68792/245537/22416/108155/76965/64930/13380",261
"GO:0060562","epithelial tube morphogenesis","331/11813","372/15419",0.889784946236559,1.1613979586914,5.70329464139018,5.68589118623955e-10,3.84934833308418e-07,2.99257430854713e-07,"13982/17128/17260/13841/14462/16911/19401/20481/100503085/19206/21813/12043/14173/15209/21815/56753/14160/19143/54710/27428/12977/18707/18128/14260/12826/108655/19664/320878/21803/74392/14734/24064/18741/18109/13614/13642/16202/50884/65256/12374/14042/104156/11600/12388/14609/58234/18129/23908/230824/17127/15242/654470/14254/94109/20319/19411/21923/14048/13036/22323/24069/81896/17684/30841/16776/22034/20779/67122/269152/20971/270685/16772/14634/269593/50768/20671/20997/17295/21380/18479/14164/67087/16373/18018/16973/18667/12765/18186/99683/12808/74533/18749/15364/69718/15184/71228/22084/216285/19876/18764/64138/12162/14815/18612/19303/13800/114249/15205/24136/21926/22160/23796/12705/18514/12614/211401/192119/106042/18763/20353/16542/12850/19108/11622/22413/233651/433809/27205/22158/18510/11477/15245/207607/58231/20563/216527/15375/229600/239337/94275/16411/20315/12156/15213/67836/15478/13836/78783/54485/14633/15229/93840/22339/15376/12234/16842/18595/231214/14472/107515/21808/17292/15251/76779/21386/16870/21687/57246/65100/20460/16000/232906/98711/12627/243362/21420/16974/11839/11482/235626/11835/22420/225876/22337/21676/12505/269878/64058/22601/20471/15945/17387/20356/14725/19713/17979/13838/329628/66042/15208/20472/15431/12370/12367/67784/14183/140570/17702/26409/12631/21853/54006/83429/19227/12159/12165/22411/68146/18854/18654/19045/16147/12305/75605/13645/71461/21418/319757/14179/14174/14165/19335/18121/12387/22431/22414/24063/16869/20496/18505/381157/11350/18021/116810/68588/14595/107586/11852/11535/16814/12767/277939/56334/105278/20681/21846/380718/13001/22408/20474/59024/19058/19378/12215/21410/16371/234366/20733/20191/11352/22289/226154/11783/16372/207304/18132/17242/20732/244058/271127/68270/17313/207920/252973/19878/13383/13805/56044/51938/13388/77411/240641/74025/29876/12391/18208/22412/73916/11684/93760/13617/216021/330409/18504/241035/14463/73181/239122/14573/19164/20682/67661/23967/20349/21677/170823/18119/93761/99377/216274/239405/20423/14365/20674/636931/22416/64930/22772/11608/21385/69847",331
"GO:0070371","ERK1 and ERK2 cascade","271/11813","301/15419",0.900332225913621,1.17516486848067,5.55474780595437,1.14323691138936e-09,6.96574250109534e-07,5.4153327381601e-07,"13982/17128/108058/19229/13841/19260/21898/67603/69601/14173/232975/15209/24066/76089/20302/100952/18128/81897/14538/171285/66797/19252/21844/21803/114716/16476/16971/257632/24064/15170/110355/13614/11540/14309/12374/14042/12988/16413/11600/20963/66129/16323/63873/12389/214854/18129/24088/215449/13132/11820/54635/18189/17096/20608/13036/13405/93695/18596/22631/18750/13844/12491/216869/109042/11910/16410/19264/211323/19246/64384/20779/20358/231670/101540/11491/321019/234593/18441/21934/11556/27999/76954/22350/18762/14289/16416/14164/192656/14526/81799/16176/332579/26365/18186/227326/19419/12978/27218/21983/101809/674895/435391/114249/620393/73230/19279/52065/15558/12633/319520/16149/14062/18584/16542/19261/57783/107746/327957/16193/12193/18591/238555/75607/14678/17886/327826/27403/107607/16600/14219/20315/12156/11450/14257/16007/73167/16332/270190/13836/12192/18217/22339/56708/18595/71878/13649/63953/18430/14783/235584/21687/66824/15289/12488/26413/16000/50754/320150/101613/21832/17451/19219/17167/109689/14172/12505/12778/11816/74155/18590/215748/26367/12654/14170/12273/13838/83433/72349/244882/404710/27374/239659/83397/18390/17751/109593/26941/14183/14268/11475/12771/230857/12159/11549/14175/108995/80857/16878/56291/18784/59027/13983/13645/12768/64654/232983/99571/109905/14179/72514/26400/14165/384009/68235/19255/14114/18015/12922/29811/24063/109648/20361/233571/19247/11350/11441/13176/70086/12767/75590/213452/107221/12266/114715/217378/70008/18214/14063/12311/11352/231252/56089/16728/26395/319239/218461/13383/17319/13489/22433/19211/14184/109880/226781/21943/67071/252864/14456/13617/13869/241035/20682/20320/18119/14869/56705/18105/15357/24071/18780/69847",271
