"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","direction","method","gene_ratio","bg_ratio","fold_enrichment"
"GO:0002274","myeloid leukocyte activation","232/11972","252/16537",0.920634920634921,1.27167889095721,7.03785766929408,3.33719263901663e-15,2.06405364723178e-11,1.48803663356573e-11,"17082/16174/15510/14268/12765/18173/16153/18783/246256/14127/12506/27218/12523/381319/77777/74732/15979/209558/103213/14728/110279/16414/216161/15978/16822/94176/171285/347708/171283/15944/15525/16189/16163/12981/11541/18806/74637/109934/360013/16859/20304/20302/93670/217166/27419/14824/12921/380732/217303/217304/246746/70450/107817/59027/238205/268567/19164/53314/12652/320910/83924/16364/20963/12890/14063/13421/22418/18753/19214/71412/13035/12759/108670/22631/75766/17988/19354/66725/15370/17250/69150/17470/11820/15980/16415/14289/14294/18607/442827/21785/17916/378460/21926/224792/106763/106759/21950/14158/224938/18754/53603/12326/12978/225825/16952/16452/77125/72691/73442/214084/19215/20910/64685/16420/53416/53856/20375/22259/22034/19419/21825/20619/99138/13011/20779/329547/16803/381485/84112/24088/12479/229521/18129/329731/11542/20912/66815/12042/17096/12801/18124/21898/15977/16476/13615/230738/19204/14191/12802/12259/18784/69188/27278/19664/21897/21899/74734/16590/56792/20311/11745/57914/19247/56715/56743/170741/15289/12638/317757/83408/109648/20617/22320/26903/14461/108655/17474/15170/17000/28040/232413/16523/18733/19698/19294/16534/210155/21803/22177/12606/14256/12493/233274/14159/70461/16170/13032/14389/20277/16190/66824/16409/19267/74180/27027/20911/11502/52065/11988/142980/15368/16168/20312/234779/12362/17394/72826/16835/12402/16173/19883/11487/22038/18828/81897/15587/22040/21813/24046/13051/12772/12229",232,"More open in HSC","DESeq2",0.0193785499498831,0.0152385559654109,1.27167889095721
"GO:0001503","ossification","377/11972","432/16537",0.872685185185185,1.20544561538652,7.0070720120931,3.79469697250554e-14,1.17351003874734e-10,8.46017703975446e-11,"387225/723964/14200/17936/212712/12168/16011/16147/18159/208727/21934/12043/14633/19225/226551/17926/18514/18214/15951/381308/338366/387201/67141/215798/18634/18605/66403/14609/12817/19073/13654/12833/83554/216161/16000/67972/17877/19263/387251/102465224/17937/84035/16009/60530/268396/14172/11890/11687/216963/18015/20302/18121/22057/12842/237928/21833/15184/12006/26399/67671/75302/23967/15902/58185/20666/22160/11622/18760/15251/64075/723909/13386/11651/14634/14756/17300/12161/21418/15904/20354/17702/67399/17129/19206/110789/17260/16195/21834/22418/26419/12165/218952/12159/17387/14180/19229/20855/12153/21943/19219/71175/223332/239337/11732/107587/21847/68588/239405/14042/18133/211401/22402/14083/57259/76457/22422/387245/19094/106042/105722/56233/22337/12824/22410/70152/668178/11479/20683/18022/66049/100124432/20583/12609/26413/12667/11625/22061/12374/56637/723952/12394/73016/20681/268935/26416/12411/114584/21926/54393/12393/22339/65960/50766/20541/106522/20472/68010/210719/11789/16948/14119/12978/723889/11555/17128/17131/17126/17344/18018/16973/27060/11474/16998/17283/225998/13380/19211/107250/21416/18128/20181/11480/21930/11477/14425/387149/228357/17242/26427/14043/22034/107515/214593/18429/215653/12156/16449/94249/58214/15901/68728/14563/320799/20613/12608/13081/12162/723906/14683/15213/72007/20674/14173/329628/380614/12457/97064/242050/72162/20429/68259/100534287/20319/17261/12096/16905/56417/12977/20661/13609/387155/16842/74442/114249/19055/12167/16007/242253/18619/242291/100201/17389/26409/230103/93966/52076/230587/68777/56401/14191/12399/15903/22417/15530/11647/13836/20148/67087/723848/20481/12571/14362/74511/735264/20423/14284/14184/231225/19664/19712/11839/140780/110075/13406/94111/20750/21814/69504/433938/231633/19247/18439/73121/110006/66711/14371/11423/243308/80752/75788/16591/12311/12843/13395/21333/319757/19242/140494/23845/93695/71982/15400/13666/21336/110935/19016/11689/64654/16974/19227/21803/20190/12606/20256/68667/71974/338352/269941/67943/22411/69121/18442/16332/16202/233651/56788/19226/12310/233781/26417/14183/73835/68713/20516/20377/14182/22341/234356/12845/17125/387216/723960/16477/26383/17390/12400/58994/80707/77087/17386/22601/208098/70661/235320/723849/102657/17127/17130/235439/212943/382089/108153/387153/17002/723815/11481/12387/21922/29806/12768/71458/14734/71584/12705/83453/18675/14758",377,"More open in HSC","DESeq2",0.03149014366856,0.0261232387978473,1.20544561538652
"GO:0045785","positive regulation of cell adhesion","418/11972","488/16537",0.85655737704918,1.18316817108773,6.65141624042432,1.0989825264374e-12,1.65183252980679e-09,1.19085437540085e-09,"22637/26921/107527/17974/15510/12487/54167/14268/76709/16147/13838/226352/13137/13136/20668/18772/26424/19264/226519/11352/22164/240873/17926/16579/20343/20344/16963/16456/27218/269152/320404/63953/15284/21808/22288/17684/16773/56484/12484/110829/94214/74048/11735/16414/50723/83554/16000/17311/114774/15978/12512/67596/16878/22433/319922/22778/16160/11492/171285/15944/16189/16362/216799/104709/380705/11687/18806/16859/20296/20304/16400/78473/19401/12775/57376/16480/20851/20850/16416/83796/18750/14784/70450/18453/170758/16413/23795/64075/14744/192119/15519/56048/18073/14634/238555/68732/20677/68750/14538/18003/12522/18081/20963/13612/11774/238871/16195/16398/56838/11534/328365/22418/80795/105522/218952/18950/75019/13035/19229/68813/13655/15558/21943/380924/19219/13132/268780/16197/17909/15529/11600/18606/15117/223601/14083/17886/16852/110253/18591/72049/77044/22410/16402/105855/13731/12703/67451/68606/12929/12667/12053/74143/15205/22042/12524/56637/12519/67896/16423/80859/320712/12837/12394/17356/64074/22084/57261/320484/15001/14312/15000/14999/15002/14961/14960/14969/381091/100504404/547431/21926/22339/58217/21950/50930/22324/16772/246707/74199/18754/56468/19877/13511/225341/11789/225392/70417/16149/240354/17131/20227/78317/12015/12507/12511/20908/14537/18552/16952/76088/67155/16452/58205/16825/14732/14462/18761/16184/20163/30963/12151/54519/14347/64930/11350/13482/16403/16401/16410/19271/17242/19373/22034/12505/14260/19419/21825/228564/16175/16176/19261/241639/74030/20667/20779/21817/11486/58231/20971/277360/320664/12162/18534/16196/320832/668101/20674/16183/60505/70839/16159/18167/99571/12480/12479/22724/16194/20194/54215/242122/19260/12977/57257/22329/16842/114249/19055/16007/12042/192656/67490/230126/18124/54357/67694/21687/16451/67916/16818/107581/19273/19204/93760/12399/22417/12540/110351/14726/18762/21936/12571/12491/66993/20423/16193/100952/74734/16542/55985/13406/20750/19303/19247/22628/22788/140709/13846/108723/11461/19353/19159/11987/15289/12389/19242/109880/13848/317757/83408/109648/70945/68169/26903/14115/14924/11689/20315/19713/15170/21940/50918/101540/18793/26365/26367/21803/243910/20130/21872/207952/12144/29875/108797/723840/16202/16190/12721/20737/16408/66824/330662/56460/12520/170776/20300/13642/24099/11502/83436/66959/211323/22341/16453/74015/16168/12317/26992/74256/20312/14766/12400/234695/12550/54446/11906/12554/234839/244667/18186/16412/14345/15894/13430/20586/23871/20443/21838/11806/235320/16173/102657/17127/214812/22003/76365/54371/19823/104831/21667/21813/12387/12772/12774/209446/74131/192176/13405/13641/16186",418,"More open in HSC","DESeq2",0.0349148012028066,0.0295095845679386,1.18316817108773
"GO:0050727","regulation of inflammatory response","326/11972","373/16537",0.873994638069705,1.20725437101225,6.55634636154169,1.33535370234987e-12,1.65183252980679e-09,1.19085437540085e-09,"16171/16177/107527/17082/12370/12487/52392/21934/16153/11539/26424/59125/19225/13211/22164/240873/16963/14130/14127/74748/383619/226691/63953/13982/21929/209558/12484/110279/11540/14598/15468/216161/16000/20186/15978/18413/216622/66827/16160/15944/15525/16189/16163/57783/54396/216799/11541/18858/11687/195046/637515/74637/109934/216963/16859/20306/20290/20304/20302/217166/12775/20851/20850/20848/14824/18750/338364/12702/210029/18976/30955/11622/26443/18035/238205/192119/27052/18081/58992/13024/97895/14945/16392/13421/353187/22418/18753/67419/54616/52033/19645/15558/210808/21943/16365/13618/19219/78757/81799/239337/14000/432940/18133/22402/69146/107753/16852/66725/68614/16678/54483/17250/26413/11625/12053/69150/57781/239849/271375/74603/17470/16423/80859/67581/11820/20655/224440/17171/436440/14289/19015/26415/21785/57261/57757/21926/15937/106763/14154/56468/11516/26410/13511/19123/53603/72512/65113/12978/19255/56708/22287/269060/14675/16952/16452/77125/83490/72691/18569/14462/16184/14347/64292/64685/21930/53416/228136/13046/22259/17242/12505/66811/213696/387165/16176/19261/13011/76192/16803/11486/263876/12608/58203/208188/14359/16183/84112/56426/24088/229521/20201/20202/69769/13040/14129/329731/11542/242202/18033/67547/229898/55932/14469/19218/17096/67490/12801/100182/21923/21898/15977/100340/66259/18784/21938/15234/16193/12182/21899/56792/56744/63873/243272/56715/17969/56221/22788/231871/11690/21333/109648/20617/22320/19695/23945/108655/58991/19016/11689/16172/24110/14792/15170/21937/232413/21946/319197/333654/11816/16534/232983/21803/22695/233079/233080/12606/243958/72310/12489/83382/54131/233274/11441/109815/16170/13032/207728/244202/26440/64297/56312/26417/20737/66824/16334/12520/244329/15930/52065/11988/142980/12367/16956/257632/74256/20312/12562/71609/234779/67866/12362/12363/12364/17394/72826/16835/11433/23871/270151/16154/11806/16173/13075/74211/20361/102657/72565/17127/75697/244911/19883/23959/213208/81897/15587/14775/22040/72179/13051/12768/12772/12774/56501/12229/19241/170743",326,"More open in HSC","DESeq2",0.0272302038088874,0.0225554816472153,1.20725437101225
"GO:0006935","chemotaxis","367/11972","425/16537",0.863529411764706,1.19279868713272,6.52081689887742,2.42348094416364e-12,2.49820493994202e-09,1.8010289963995e-09,"20353/12168/18187/12912/14268/12765/227288/20254/12778/64095/12767/383563/240873/20343/16963/14127/27218/98365/74748/21808/64058/215999/53404/17319/16414/28240/18717/15978/16971/268373/14172/94176/20564/16189/18208/380705/216869/237847/16859/20296/20306/20290/118453/20304/20308/20302/20303/12775/72349/16416/18750/170758/11491/30955/23795/238130/18760/18654/399558/217835/19141/12652/17101/193385/73710/18003/13614/18081/20354/20963/57266/16841/21828/14063/238871/14945/16398/109700/14165/56838/54713/22418/18753/218877/18183/13586/93725/13587/12159/16854/53877/93726/93719/67272/13035/432867/654465/19229/13655/21943/105689/13618/110168/321019/20356/11600/18133/18606/223601/14083/18810/19354/53357/18591/22422/16564/105722/668218/15370/105855/17250/20583/68606/26413/12929/65079/20440/17174/20357/12374/245195/19876/268902/13052/11820/21844/16415/13508/12458/64074/14293/14289/14294/22084/19252/27226/22339/58217/58218/20359/50930/22324/13640/14158/59025/68545/15200/14164/20358/16948/20496/16149/18596/12978/56069/19255/14764/20908/16952/17195/12642/20562/14179/107338/227541/18761/18128/14134/13805/15139/21930/21375/13482/53416/14725/16410/19271/20375/17242/107515/21825/214968/16176/71436/654459/16803/17395/140579/277360/13616/13123/11608/14173/70839/84112/16159/20351/20198/381493/20201/20202/20360/12977/57257/13609/22329/14066/16842/22253/16007/17096/13841/100039672/14745/18578/13615/68050/12986/19204/12802/18600/13836/18707/269608/230972/108151/20346/20349/15234/20348/20423/12182/20563/18595/16590/16542/56792/20311/56744/330122/14825/20310/17329/15945/56066/55985/20750/14747/23790/63873/170756/18438/66711/56221/15507/18590/19353/14254/15289/17295/73178/243743/19242/54324/71660/20355/26903/320701/50501/11689/20315/232341/16172/12267/18205/19277/18705/319430/101540/384569/269878/232983/21803/11652/233079/68667/20210/18213/20352/14159/16170/56212/20947/57342/12310/12721/26417/16409/16985/13043/14175/20300/13642/14456/11601/14182/78560/211323/102103/22341/13617/18997/14388/12317/257632/17390/20312/68119/12927/12554/18186/71785/83964/19649/12145/270152/11806/13075/20361/17127/13143/11487/21983/270190/20187/252837/20350/12773/102545/70031/104099/13051/59289/12769/23832/12768/12771/12772/12774/18846/12766/80903/58861/237038/27494/76763/19241",367,"More open in HSC","DESeq2",0.030654861343134,0.0256999455765858,1.19279868713272
"GO:0001763","morphogenesis of a branching structure","213/11972","235/16537",0.906382978723404,1.25199259264525,6.30056442232577,3.18591478914425e-12,2.81498328155103e-09,2.02940376643835e-09,"240725/14048/98711/241035/14367/22420/16147/14472/12043/14633/12767/16153/18514/93840/19130/13982/21412/72780/12142/12817/16000/327826/15364/21853/19058/14025/68585/54710/15478/21410/16869/21385/380718/18121/18612/14784/217325/12702/238057/18109/11622/21869/15375/20471/18654/192119/14634/13614/17702/19206/271127/15229/14165/71228/22418/12165/12159/17387/73181/24064/18163/20356/252973/11600/239405/14042/17869/18591/12614/66725/22337/22408/668225/20583/21380/71751/104156/22061/13383/12374/18763/20681/18132/56299/21926/12305/22339/16772/20472/381157/14164/20496/17128/18018/16973/15242/18504/12234/14179/18510/67122/18128/20181/11350/13805/77767/11477/13392/12388/17242/12505/22431/107515/20732/54485/16176/12156/15376/20779/21817/58231/17979/21420/12162/64138/16776/11608/20674/14173/24063/329628/20429/100534287/20319/22414/229700/12977/18741/13645/16842/114249/207920/329795/13841/14595/21923/21687/21846/29876/22417/13836/67087/68703/20346/20349/15234/20348/20423/16193/20563/18595/16542/11839/18764/19303/21386/56334/18590/14254/17295/22413/319757/56753/18844/12391/67784/20315/16974/21803/20733/18479/16202/233651/11535/14183/12826/94109/20377/14182/12876/13617/15245/58198/18021/12550/18186/22601/18667/57246/19143/18854/14155/14531/13036/21667/21813/12387/11609/14734/14168/94275/11835/12705",213,"More open in HSC","DESeq2",0.0177915135315737,0.0142105581423475,1.25199259264525
"GO:0043410","positive regulation of MAPK cascade","392/11972","458/16537",0.85589519650655,1.18225349687845,6.40556269418541,7.13964449719685e-12,4.90652235724028e-09,3.53725544913753e-09,"12421/620393/20353/22637/26921/12633/14369/13869/13838/227326/12778/59041/21934/17167/12767/26361/213452/12654/11539/67313/19264/11352/17926/18214/14130/27218/12523/21808/66208/83397/13982/18390/70097/14816/26408/21987/13608/237353/19156/11540/17319/27403/17873/16000/327826/215449/16971/18413/16878/268373/56089/16009/13649/14172/211652/69183/11548/171285/14257/26397/26398/320207/104709/11686/11687/216869/50932/327957/216965/16706/20302/70834/18053/16010/12775/16416/26406/78943/18613/18750/26399/21858/18217/19878/11491/59027/217588/13983/21809/68339/16323/105352/18105/14538/13614/23882/20963/13488/18212/66129/17260/218461/14063/14062/27220/17948/17951/17952/26401/109700/14165/22418/18753/218952/12159/93834/14180/29820/19229/11549/20410/14171/70086/15558/21943/24064/321019/14600/13132/81799/52521/56274/11600/17886/18591/73167/22422/60597/66725/224014/12929/21380/13544/21832/12374/19876/11820/20655/26407/14289/14294/11984/30957/12005/268934/21785/21926/22339/76589/224938/18754/14309/18189/11516/240185/19877/12558/13506/381126/225392/14164/269016/16906/15531/16149/18596/12978/11555/13176/110355/26403/16452/13380/19211/11475/69534/14179/11551/11554/332579/18128/107746/11350/227753/69601/14526/53416/68082/19271/20375/228355/22034/12505/21825/26390/73338/11552/16175/16176/11550/215653/12156/18795/20608/20779/21939/19246/76829/13616/665113/20674/14173/24017/56426/76089/54635/99571/24088/50754/404710/13636/16194/18129/18049/19260/109905/246691/29815/108058/13645/114249/242248/65086/17096/17451/242316/192656/26409/384009/14745/21898/21687/16476/16847/230738/16818/230777/16792/22417/12540/18784/22062/18762/15234/12491/16193/14184/13492/100532/18595/16590/16542/63873/330177/333050/19247/18439/93897/18590/14254/15289/16591/12311/12390/17295/93735/14763/15258/109880/93695/109648/54722/68235/107607/13197/21802/22421/65106/58991/110157/20315/19713/21940/17000/18205/14177/64654/381812/78600/101540/11816/16534/232983/26365/21803/269881/26411/11441/16001/108116/18213/29875/18584/108071/109689/233571/66508/667823/20128/209387/109042/16202/76954/26417/66824/14183/16334/12520/14174/14175/14170/16337/14456/11502/14182/11556/211323/52065/80857/142980/59009/100038489/53978/23886/13617/14388/93960/257632/17751/20312/114255/234593/234779/18186/71785/15894/73230/319239/57810/330938/244882/121021/20361/12175/404194/21983/19417/20187/81897/14678/12387/12768/12772/11798/94275/245527/11835/80903/237038/27206/15560/17318",392,"More open in HSC","DESeq2",0.032743067156699,0.0276954707625325,1.18225349687845
"GO:0050866","negative regulation of cell activation","198/11972","218/16537",0.908256880733945,1.25458102545082,6.12753360957485,1.14150324092261e-11,7.06019754510636e-09,5.08990287215599e-09,"12477/14268/16147/20720/16331/18566/16153/54354/240754/381305/22164/240873/16963/100039795/14130/12523/15284/237256/21929/209558/11846/12484/12142/14728/74048/11540/114774/67245/171285/16189/16362/57916/11684/16859/20555/217166/20850/72349/14824/380732/19084/217303/246746/15902/20666/238205/72736/11847/14634/238555/15216/193385/105352/71228/18753/12159/16854/13035/52023/16852/18591/12703/12053/14729/13383/12524/12519/100043314/208154/17470/208650/67742/12394/22084/21785/57757/14960/16988/94185/224792/14158/65960/56468/22694/65113/269023/16149/19255/17131/54607/14419/108995/22287/16952/58205/19091/19211/14102/16184/67122/319817/76747/22259/17242/19374/12505/17289/19122/13011/20779/329547/20971/12608/72147/94212/16183/229473/229521/22724/69769/242122/19260/329731/242202/242248/17096/67490/12801/15977/12578/230738/16792/14191/12399/12802/18784/14190/20535/20423/100952/27278/18595/56744/19247/16923/56715/15507/22628/18590/17120/14255/15289/317757/83408/93695/16950/15170/16768/12527/12515/232413/245126/21946/11816/26365/21803/26362/22177/243910/12493/233274/434215/16190/26417/20737/17173/27027/75863/20377/15930/234199/12367/16453/320795/20312/12400/208936/72826/16835/54698/72828/12988/102657/14629/213208/235587/15354/12229",198,"More open in HSC","DESeq2",0.0165385900434347,0.013182560319284,1.25458102545082
"GO:0050673","epithelial cell proliferation","399/11972","468/16537",0.852564102564103,1.17765223555818,6.3136044997652,1.52946732956618e-11,8.58222995555034e-09,6.18718054575352e-09,"240725/14048/241035/16171/68833/20846/12633/14369/12168/13869/16011/16147/19275/20254/20724/14633/16153/13924/214498/14645/23797/63953/15284/21808/19130/226841/54139/387201/12490/13982/22353/21929/11846/19272/12142/52014/14609/110829/93759/12822/16000/14160/327826/15978/15364/216439/20852/22433/16009/13649/68585/14172/18148/16160/14257/20692/11541/20317/66601/18015/20296/20304/21410/21385/18121/20913/18103/18053/217166/16010/20850/20848/18612/14824/16416/78943/18750/11818/74370/23967/18109/16413/11491/15902/20666/22160/11622/18760/20471/13983/12192/19164/18654/21809/238328/192119/58208/13386/11651/66222/380839/282663/68750/12161/14451/19206/13039/18570/17260/21828/27220/14313/16392/14165/18792/11534/22418/12165/105450/503844/12159/11727/219033/17387/12050/21816/14180/54616/18092/94352/13655/19645/21943/66214/16840/13134/13618/13132/78757/20356/56274/107587/54375/18133/15117/211401/17869/69462/223650/18591/22337/22410/11482/15370/20683/20583/26413/21380/22061/12737/15205/13383/106389/73916/80859/12837/19876/13052/15312/18607/22084/19015/12575/80748/21926/12393/22339/19274/116871/14309/240185/21417/14465/225341/11789/19290/14164/328949/18018/17283/12015/16601/19211/16889/18089/18504/12234/21416/14462/67122/18128/353156/13166/13805/69601/24136/11480/14089/11909/16401/23796/13046/17242/18508/14308/107515/21825/54485/241639/16449/107586/15901/14563/228852/18803/67996/58231/72043/12608/21420/16776/19302/15213/13123/11608/208188/14173/380614/16159/68259/56426/20319/404710/12096/381457/229600/18129/246691/14066/13809/13645/13722/207920/14595/21812/18124/18028/12578/67694/21687/16476/67733/30923/21846/329941/11983/20111/12399/12540/15530/110351/13836/18707/74155/15208/12571/15234/20423/16193/14184/14181/19664/16590/16542/11839/18096/21814/20778/17969/56221/18609/14254/15289/13396/13395/114142/12390/12389/22413/93735/27999/319757/19242/21848/56753/71093/56316/19695/21336/26903/21802/68888/14461/22421/108655/50501/16438/58991/19016/110157/81896/11689/20315/12122/12444/71183/16974/12576/20449/101540/11816/26365/26367/21803/22695/15451/259277/11819/12173/66333/12310/56312/14183/56213/15372/17345/54006/12577/12443/13642/384783/20377/14182/73754/353310/234199/22341/100038489/15368/13617/257632/12560/12550/73608/338521/12554/67866/13057/22601/18667/73230/270152/214597/11806/16173/23938/17127/19378/235505/83946/76365/19417/74769/56492/14775/67561/12387/12771/12361/30878/14734/19108/11878/94275/11835/12766/11977/64103/12229",399,"More open in HSC","DESeq2",0.0333277647844972,0.0283001753643345,1.17765223555818
"GO:0061138","morphogenesis of a branching epithelium","196/11972","216/16537",0.907407407407407,1.25340764252391,6.07087648155162,1.81427278624976e-11,8.58222995555034e-09,6.18718054575352e-09,"240725/14048/98711/241035/14367/22420/16147/14472/12043/14633/12767/16153/18514/93840/19130/13982/21412/72780/16000/327826/15364/21853/19058/54710/15478/21410/16869/21385/380718/18121/18612/14784/217325/12702/238057/18109/11622/21869/15375/20471/18654/192119/14634/13614/17702/19206/271127/15229/14165/71228/22418/12165/12159/17387/73181/24064/20356/252973/11600/239405/14042/17869/18591/12614/22337/22408/20583/21380/104156/22061/13383/12374/18763/20681/18132/56299/21926/12305/22339/16772/20472/381157/14164/20496/17128/18018/16973/15242/18504/12234/14179/18510/67122/18128/20181/11350/13805/11477/12388/17242/12505/22431/107515/20732/54485/12156/15376/20779/21817/58231/17979/21420/12162/64138/16776/11608/20674/14173/24063/329628/100534287/20319/22414/229700/12977/18741/13645/16842/114249/207920/329795/14595/21923/21687/21846/29876/22417/13836/67087/20346/20349/15234/20348/20423/16193/20563/18595/16542/11839/18764/19303/21386/56334/18590/14254/17295/22413/319757/56753/18844/12391/67784/20315/16974/21803/20733/18479/16202/233651/11535/14183/12826/94109/20377/14182/13617/15245/58198/18021/12550/18186/22601/18667/57246/19143/18854/14155/14531/13036/21813/12387/11609/14734/94275/11835/12705",196,"More open in HSC","DESeq2",0.0163715335783495,0.0130616193989236,1.25340764252391
