"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0034101","erythrocyte homeostasis","94/4074","164/11879",0.573170731707317,1.67125555276171,6.25366175961479,1.08637181529915e-09,5.79796637825154e-06,5.39069130244229e-06,"19743/14151/11656/11733/56199/20679/15129/101488143/56484/70026/12183/13828/11518/19746/15122/216781/19824/52065/226419/12484/67017/19645/15368/67739/98366/20533/20514/208638/21349/16909/114601/26362/13423/16590/14645/56417/11717/12571/241525/20846/22761/20044/56215/56419/544763/11983/15526/230257/100900/76044/23871/66154/16596/16452/216635/17863/13829/20068/11740/15902/20085/238247/16658/20687/14381/14461/18174/12053/15511/20850/237339/20088/18477/224792/97165/105463053/193740/59003/14582/18795/11655/16969/14460/20851/17129/100038882/15361/22695/50794/14057/21814/20104/234549/100503572",94
"GO:0002262","myeloid cell homeostasis","111/4074","204/11879",0.544117647058823,1.58654234889832,6.10494467025298,2.31046625709651e-09,6.16547920706205e-06,5.73238838734367e-06,"19743/14151/11656/11733/56199/20679/15129/101488143/56484/70026/12183/13828/11518/19746/15122/216781/19824/52065/226419/12484/67017/19645/15368/67739/98366/16409/20533/20514/208638/21349/16909/114601/14728/16952/26362/13423/16590/14645/56417/11717/12571/241525/18578/12765/20846/22761/20044/12772/56215/56419/544763/11983/15526/230257/100900/76044/23871/66154/16596/16452/216635/17863/13829/20068/16889/11740/15902/20085/238247/16658/108156/20687/14381/14461/26570/17289/18174/12053/15511/20850/14127/237339/20088/18477/224792/97165/105463053/193740/59003/14582/74769/18795/11655/16969/14460/20851/17129/14130/18015/100038882/15361/22695/50794/14057/12229/21814/20104/218476/234549/100503572/17311",111
"GO:0042254","ribosome biogenesis","153/4074","305/11879",0.501639344262295,1.4626837924624,5.91409350198474,5.63266977868544e-09,1.00205195362814e-05,9.31663345148182e-06,"57444/217869/99375/66878/217038/24014/100019/55989/14645/56200/20044/18432/27176/18148/20115/20091/72515/20054/54127/69237/66481/56095/100038991/231452/67671/19941/195434/104662/99480/209011/217995/67097/17975/70930/77591/66942/59050/66489/18813/216987/20068/67223/22596/20085/75422/69499/20102/66249/67239/208768/75416/18572/75617/64934/67025/235036/230737/68052/66580/353258/19989/110109/66235/320790/57750/67134/245474/68193/14113/73674/67115/20935/97112/225348/74112/27207/207704/12261/18114/20088/19782/20103/66523/70683/27993/78796/66596/229317/67493/227715/67920/72554/69663/72662/57315/12181/56321/69126/30946/207932/72462/106298/19942/66161/271842/66282/18519/52202/59014/65961/225215/71990/208144/66932/67390/71989/68966/98956/66362/52530/27966/67936/69962/67842/227656/217109/76130/227674/67205/21771/67674/20104/100609/69639/52521/208366/75593/234549/72181/67222/68533/72344/101612/20055/56412/75619/217011/67832/67619/109075/67848/94254/216156",153
"GO:0030218","erythrocyte differentiation","87/4074","154/11879",0.564935064935065,1.64724193332441,5.84071883429551,1.17014520644098e-08,1.56126624169388e-05,1.45159592188494e-05,"19743/14151/11656/11733/56199/20679/15129/101488143/56484/70026/12183/13828/11518/19746/15122/216781/19824/52065/226419/67017/19645/15368/67739/98366/20533/20514/208638/21349/16909/114601/13423/16590/14645/56417/12571/241525/20846/22761/20044/56215/56419/544763/11983/15526/230257/100900/76044/23871/66154/16596/16452/216635/17863/13829/11740/15902/20085/238247/16658/20687/14381/14461/18174/12053/15511/20850/237339/224792/97165/105463053/193740/59003/14582/18795/11655/16969/14460/20851/17129/100038882/15361/22695/50794/14057/21814/20104/234549",87
"GO:0097529","myeloid leukocyte migration","96/4074","177/11879",0.542372881355932,1.58145494787116,5.63077762103167,3.41488051334159e-08,3.64504345994081e-05,3.38899931366152e-05,"13143/20201/16423/20202/245195/18708/12215/17524/16409/16414/16177/18472/17395/19141/68891/16952/13861/16590/12768/16415/14131/18578/12765/11501/11820/102103/14289/12772/12771/17101/58218/19261/16854/15235/16149/21825/12182/14595/19152/18613/100038947/20085/17916/56715/58217/19218/14205/17319/20315/12261/27226/14127/80795/12770/22121/68279/13052/13051/20312/64095/109700/20299/105722/16803/76763/54324/19277/18795/83433/12267/13482/12775/12273/20302/20851/16176/110279/277360/18015/12986/19271/20750/56744/67767/11629/20947/14347/20303/17311/14254/12913/270152/17387/100952/20310/18750",96
"GO:0016072","rRNA metabolic process","125/4074","248/11879",0.504032258064516,1.46966106861767,5.4000476688766,9.8731380592029e-08,8.78215630366098e-05,8.1652583879092e-05,"57444/66878/237890/217038/24014/20556/21969/26914/56200/20044/24127/27176/70428/20555/18148/20115/72515/20054/54127/69237/66481/56095/100038991/195434/104662/209011/217995/20019/17975/70930/77591/66942/59050/66489/18813/216987/17869/20068/67223/20085/75422/69499/237886/67239/208768/75416/18572/75617/64934/67025/235036/21453/66580/19989/110109/320790/57750/245474/14113/73674/67115/225348/66420/18114/20088/21429/28071/19782/70683/27993/78796/67493/227715/67920/20017/72554/69663/72662/57315/12181/30946/207932/72462/19942/66161/271842/18519/52202/59014/65961/71990/208144/66932/67390/71989/68966/98956/66362/52530/27966/67936/69962/67842/227656/217109/76130/21340/67205/21771/67674/20104/100609/69639/208366/64424/72181/67222/68533/72344/20055/67832/67619/109075/67848/216156",125
"GO:0140236","translation at presynapse","34/4074","48/11879",0.708333333333333,2.0653636884307,5.3432254735263,2.52548080922265e-07,0.000180211750164519,0.000167552871271174,"19934/19951/20044/269261/270106/27176/67891/54127/19982/100038991/67671/19941/67097/26451/66489/67281/19943/19989/65019/68193/67115/54217/20005/27207/66480/20088/20103/22121/19944/27370/19942/19896/19981/20055",34
"GO:0006364","rRNA processing","108/4074","211/11879",0.511848341232227,1.49245126300875,5.21437177309528,2.70131909558956e-07,0.000180211750164519,0.000167552871271174,"57444/66878/217038/24014/56200/20044/27176/18148/20115/72515/20054/54127/69237/66481/56095/100038991/195434/104662/209011/217995/17975/70930/77591/66942/59050/66489/18813/216987/20068/67223/20085/75422/69499/67239/208768/75416/18572/75617/64934/67025/235036/66580/19989/110109/320790/57750/245474/14113/73674/67115/225348/18114/20088/19782/70683/27993/78796/67493/227715/67920/72554/69663/72662/57315/12181/30946/207932/72462/19942/66161/271842/18519/52202/59014/65961/71990/208144/66932/67390/71989/68966/98956/66362/52530/27966/67936/69962/67842/227656/217109/76130/67205/21771/67674/20104/100609/69639/208366/72181/67222/68533/72344/20055/67832/67619/109075/67848/216156",108
"GO:0140241","translation at synapse","34/4074","49/11879",0.693877551020408,2.02321340907497,5.18522504077349,5.53194851041316e-07,0.00029524009200075,0.000274501108190396,"19934/19951/20044/269261/270106/27176/67891/54127/19982/100038991/67671/19941/67097/26451/66489/67281/19943/19989/65019/68193/67115/54217/20005/27207/66480/20088/20103/22121/19944/27370/19942/19896/19981/20055",34
"GO:0140242","translation at postsynapse","34/4074","49/11879",0.693877551020408,2.02321340907497,5.18522504077349,5.53194851041316e-07,0.00029524009200075,0.000274501108190396,"19934/19951/20044/269261/270106/27176/67891/54127/19982/100038991/67671/19941/67097/26451/66489/67281/19943/19989/65019/68193/67115/54217/20005/27207/66480/20088/20103/22121/19944/27370/19942/19896/19981/20055",34
