"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007059","chromosome segregation","149/2031","372/11010",0.400537634408602,2.17130445831546,10.9301515864368,3.61949674193486e-23,1.82929365337388e-19,1.72364244847508e-19,"12316/76464/381293/16551/70099/11799/71819/108000/218977/54392/21973/13605/71865/14211/22210/16571/78658/110033/228421/108912/67203/70218/26934/72119/54141/233406/76044/72415/76123/80912/52276/68298/268697/100502766/70454/68549/104318/215387/209737/12236/12190/12189/71988/21335/66977/56419/105988/70799/17345/214444/67052/16580/66442/20842/20878/101706/18817/12534/12617/12235/51944/19357/68014/18005/16211/20877/208628/21969/209334/72776/20460/16563/102920/54204/108907/68094/229841/77053/73804/52563/381318/22385/67139/56208/66140/192176/12442/22137/70385/14841/71878/13018/67241/12447/59008/72155/68612/16319/67141/22154/13424/74201/30939/217232/60411/12237/76789/66468/50878/26951/107995/77044/72057/259279/56150/20587/17687/18140/17120/214901/73420/52683/19822/66934/17865/219114/21749/74237/320394/76478/76707/18519/17535/103733/328580/51885/71909/56742/71876/66336/72400/56456/77045/219103/22038/67629/74187/83560/26886",149
"GO:0000070","mitotic sister chromatid segregation","87/2031","173/11010",0.502890173410405,2.72615500209185,10.8833655823503,1.21081918943742e-21,3.05974009170836e-18,2.88302421737625e-18,"76464/381293/16551/70099/11799/71819/54392/14211/16571/78658/110033/228421/70218/26934/72119/54141/233406/76044/52276/68298/268697/100502766/215387/209737/12236/66977/105988/70799/214444/67052/16580/66442/20842/101706/18817/12534/12617/12235/51944/19357/68014/18005/16211/20877/208628/209334/16563/102920/108907/229841/73804/52563/381318/22385/67139/56208/66140/192176/22137/70385/14841/59008/68612/16319/67141/74201/60411/12237/76789/66468/26951/107995/56150/18140/17120/73420/52683/17865/219114/76707/18519/103733/56742/72400/67629/74187/83560",87
"GO:0098813","nuclear chromosome segregation","115/2031","265/11010",0.433962264150943,2.35249853683008,10.5991598700182,2.07876064827319e-21,3.50201877212423e-18,3.29975900799575e-18,"12316/76464/381293/16551/70099/11799/71819/108000/54392/21973/13605/14211/22210/16571/78658/110033/228421/70218/26934/72119/54141/233406/76044/72415/52276/68298/268697/100502766/215387/209737/12236/12190/21335/66977/105988/70799/214444/67052/16580/66442/20842/20878/101706/18817/12534/12617/12235/51944/19357/68014/18005/16211/20877/208628/209334/16563/102920/54204/108907/68094/229841/77053/73804/52563/381318/22385/67139/56208/66140/192176/12442/22137/70385/14841/71878/12447/59008/68612/16319/67141/13424/74201/30939/217232/60411/12237/76789/66468/50878/26951/107995/77044/72057/56150/20587/17687/18140/17120/73420/52683/66934/17865/219114/21749/76707/18519/17535/103733/56742/72400/56456/77045/67629/74187/83560",115
"GO:0000819","sister chromatid segregation","96/2031","205/11010",0.468292682926829,2.53860287495046,10.5756238674937,6.73955185956542e-21,8.51542377456091e-18,8.02361384544052e-18,"76464/381293/16551/70099/11799/71819/54392/21973/14211/16571/78658/110033/228421/70218/26934/72119/54141/233406/76044/52276/68298/268697/100502766/215387/209737/12236/21335/66977/105988/70799/214444/67052/16580/66442/20842/101706/18817/12534/12617/12235/51944/19357/68014/18005/16211/20877/208628/209334/16563/102920/108907/68094/229841/73804/52563/381318/22385/67139/56208/66140/192176/22137/70385/14841/59008/68612/16319/67141/74201/217232/60411/12237/76789/66468/26951/107995/77044/72057/56150/20587/18140/17120/73420/52683/17865/219114/76707/18519/103733/56742/72400/56456/77045/67629/74187/83560",96
"GO:0000280","nuclear division","134/2031","341/11010",0.392961876832845,2.13023646673049,10.0832273452261,4.73048665745692e-20,4.78157591335746e-17,4.50541508175476e-17,"12316/76464/381293/16551/70099/11799/71819/54392/21973/14211/22210/16571/78658/110033/228421/108912/234396/67203/70218/26934/72119/54141/233406/76044/72415/52276/68298/268697/100502766/68549/215387/209737/12236/12190/22187/66977/105988/70799/17345/214444/67052/16580/66442/20842/20878/12576/101706/18817/12534/12617/12235/51944/72549/19357/68014/18005/16211/20877/208628/209334/60530/16563/56637/102920/54204/108907/229841/77053/73804/52563/224826/77744/381318/22385/67139/56208/66140/192176/12442/22137/56371/70385/14841/71943/12447/59008/68612/16319/67141/74201/30939/60411/22629/12237/76789/66468/50878/26951/67121/107995/52864/77891/56150/17687/18140/17120/214901/73420/52683/17865/19362/219114/21749/76707/18519/66197/17535/103733/268465/66214/19366/67655/104806/56742/623474/14087/72400/74386/17864/105837/18032/67629/74187/83560",134
"GO:0051276","chromosome organization","165/2031","467/11010",0.353319057815846,1.91533374030156,9.61326070152836,6.49751364334322e-19,5.47307232557611e-16,5.15697398640083e-16,"76464/217653/381293/16551/70099/11799/71819/218977/54392/21973/71865/14211/22210/16571/78658/110033/228421/208084/70218/26934/72119/54141/233406/76044/72415/52276/224171/68298/268697/100502766/68549/215387/209737/12236/12190/71988/21335/66977/105988/70799/214444/67052/16580/66442/20842/101706/12144/18817/328572/12534/12617/12235/51944/19357/68014/18005/16211/20877/103677/208628/21969/209334/16905/16563/102920/18538/108907/68094/229841/77053/73804/52563/381318/22385/14957/67139/56208/59125/66140/192176/74355/22137/218973/12615/50708/70385/67849/14841/67241/12447/59008/72155/68612/16319/67141/269966/74201/30939/217232/71521/60411/100710/12237/76789/66468/50878/26951/18854/107995/22427/22590/77044/72057/52864/56150/20587/17687/15354/18140/17120/73420/52683/97165/19822/17865/219114/21749/11991/56702/320394/76707/170762/80838/14156/67459/18519/68147/53379/17535/16825/103733/73747/19366/14375/56742/105377/50754/269400/66336/28113/72400/56456/68964/77045/66181/22059/227525/67629/51797/21750/74187/214627/83560/16434/26886",165
"GO:0140014","mitotic nuclear division","101/2031","235/11010",0.429787234042553,2.32986580345077,9.80049524038612,1.41404843986171e-18,1.02094297358016e-15,9.6197821683224e-16,"76464/381293/16551/70099/11799/71819/54392/14211/16571/78658/110033/228421/108912/67203/70218/26934/72119/54141/233406/76044/52276/68298/268697/100502766/215387/209737/12236/66977/105988/70799/17345/214444/67052/16580/66442/20842/20878/12576/101706/18817/12534/12617/12235/51944/72549/19357/68014/18005/16211/20877/208628/209334/16563/102920/108907/229841/73804/52563/77744/381318/22385/67139/56208/66140/192176/22137/70385/14841/71943/59008/68612/16319/67141/74201/60411/22629/12237/76789/66468/26951/107995/77891/56150/18140/17120/73420/52683/17865/219114/76707/18519/103733/66214/67655/56742/72400/105837/18032/67629/74187/83560",101
"GO:0048285","organelle fission","144/2031","392/11010",0.36734693877551,1.99137853073283,9.50552469345996,2.50293864295151e-18,1.58123148768462e-15,1.48990716062008e-15,"12316/76464/381293/16551/70099/11799/71819/54392/21973/75734/14211/22210/16571/78658/110033/228421/108912/234396/67203/70218/26934/72119/54141/233406/76044/72415/52276/68298/268697/100502766/68549/215387/209737/12236/12190/22187/66977/105988/70799/17345/214444/67052/16580/66442/20842/20878/12576/101706/18817/12534/12617/12235/51944/72549/19357/68014/18005/68943/16211/20877/208628/209334/60530/16563/56637/102920/54204/108907/229841/77053/73804/52563/224826/77744/381318/22385/67139/56208/66140/192176/12442/22137/54396/56371/70385/14841/71943/12447/59008/67472/68612/16319/67141/22228/74201/75311/30939/60411/22629/12237/76789/66468/50878/26951/67121/107995/52864/77891/56150/17687/19765/18140/17120/214901/73420/52683/17865/19362/219114/21749/76707/18519/223601/66197/17535/103733/268465/66214/19366/67453/67655/104806/56742/623474/14087/14245/72400/74386/17864/105837/18032/67629/74187/83560",144
"GO:0044772","mitotic cell cycle phase transition","139/2031","377/11010",0.368700265251989,1.99871487957873,9.38424203258043,6.94453651147196e-18,3.89974305877548e-15,3.67451265238587e-15,"76464/381293/11799/108000/12428/12449/52276/268697/12236/77011/12580/12189/20135/21335/66977/70799/27214/20133/214444/67052/66442/12576/12144/12914/18817/14235/12581/12534/12235/19357/68014/16906/12021/19650/20877/28010/208628/14056/209334/72776/20460/19192/56637/12445/68094/229841/21423/52563/234736/12452/320595/404710/99375/237877/12442/22137/56371/12532/70385/14841/269582/12447/59008/194655/54601/68612/16319/67141/217232/12237/16952/66468/26951/67121/230809/107995/24100/77044/72611/225182/72057/104394/69581/77891/56150/20587/20184/17120/11820/18763/234664/268930/219114/381921/67628/50523/67153/52679/18392/76707/66197/75826/72508/17535/79263/106795/102423/13383/66214/20555/27401/22390/67655/12545/19055/50754/12571/19186/67333/72400/218630/56456/15902/68964/77045/18715/54124/68145/52468/219103/56469/22591/105837/22059/18032/67629/83383/83560/109019",139
"GO:1905818","regulation of chromosome separation","45/2031","70/11010",0.642857142857143,3.48491242878244,9.91896502902915,3.05812293339387e-17,1.54557533053726e-14,1.45631033164988e-14,"76464/70099/11799/54392/14211/78658/76044/52276/68298/268697/215387/12236/66977/70799/214444/67052/66442/101706/18817/12235/19357/68014/20877/208628/209334/229841/52563/22137/70385/14841/59008/68612/16319/67141/12237/66468/26951/107995/56150/17120/52683/219114/22038/67629/83560",45
