"gene_id","gene_label","log2FC_deseq2","padj_deseq2","logFC_limma","padj_limma","gene_symbol_limma","entrez_id","gene_symbol","mean_log2FoldChange","best_padj","n_dars","representative_annotation","direction"
"ENSMUSG00000025932","Eya1",-10.8962569764649,8.6581609773277e-11,-9.0191999743918,8.70236626030017e-05,"Eya1","14048","Eya1",-8.16738203573429,1.76038680796492e-09,25,"Distal Intergenic","Up in CMP and more open in CMP"
"ENSMUSG00000006386","Tek",-10.3419611075179,1.37328214010394e-09,-8.55716851021915,0.00011382216955956,"Tek","21687","Tek",-8.01194664464319,6.56850052907051e-08,8,"Distal Intergenic","Up in CMP and more open in CMP"
"ENSMUSG00000027171","Prrg4",-9.52607735256505,6.62719431807857e-08,-7.8763066007641,0.000179902108471534,"Prrg4","228413","Prrg4",-8.93863721880906,1.55159685310227e-08,5,"Promoter (1-2kb)","Up in CMP and more open in CMP"
"ENSMUSG00000025577","Cbx2",-9.32816076110854,1.68465036677925e-07,-7.78957649600254,0.000227281005617576,"Cbx2","12416","Cbx2",-8.31241020001461,6.58054147969827e-08,2,"Distal Intergenic","Up in CMP and more open in CMP"
"ENSMUSG00000023972","Ptk7",-9.24701677520025,2.30483419537905e-07,-7.7033676515647,0.000212479770617835,"Ptk7","71461","Ptk7",-8.08044730380076,4.86690126358924e-07,8,"Intron (ENSMUST00000044442.9/71461, intron 5 of 19)","Up in CMP and more open in CMP"
"ENSMUSG00000046152","Pofut3",-9.15130234328299,5.31493741706976e-07,-7.42634058369146,0.000639583879306611,"Pofut3","171167","Pofut3",-9.49386840643849,8.07128743988412e-10,3,"Promoter (<=1kb)","Up in CMP and more open in CMP"
"ENSMUSG00000072676","Tmem254",-8.69544494346916,2.23866055755805e-06,-7.27145734818883,0.000285203346819493,"Tmem254","66039","Tmem254",-8.89138520357156,1.54449996494433e-07,1,"Promoter (<=1kb)","Up in CMP and more open in CMP"
"ENSMUSG00000074575","Kcng1",-8.56395333003377,3.89875717566726e-06,-7.2283467118925,0.000334802960328163,"Kcng1","241794","Kcng1",-7.82115122382071,4.56391665573115e-09,20,"Intron (ENSMUST00000109191.1/241794, intron 1 of 2)","Up in CMP and more open in CMP"
"ENSMUSG00000011008","Mcoln2",-8.55698526597952,3.90870398760749e-06,-7.14726052150413,0.000319780720989748,"Mcoln2","68279","Mcoln2",-7.42776490380343,1.55276599743215e-08,11,"Distal Intergenic","Up in CMP and more open in CMP"
"ENSMUSG00000007480","Mc5r",-8.5559213371245,5.2856940226592e-06,-6.99670609671846,0.000705154079383623,"Mc5r","17203","Mc5r",-8.77287529217897,1.69097425964489e-07,1,"Distal Intergenic","Up in CMP and more open in CMP"
