"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042254","ribosome biogenesis","61/1005","318/25730",0.191823899371069,4.9110735630026,14.1486973070105,2.87541112993647e-25,1.47796132078735e-21,1.20585662543862e-21,"69499/66942/100019/22596/20044/195434/69663/72181/67223/67671/66161/77591/207704/66580/67239/235036/353258/30946/70930/66489/75416/18148/66523/231452/20103/68052/17975/57750/225215/217995/14113/70683/72515/99480/56321/67205/18114/110109/97112/64934/72462/230737/20091/66282/73674/216987/207932/76130/66235/59014/66596/20102/106298/67097/69639/229317/65961/102216272/217109/98956/20088",61
"GO:0016072","rRNA metabolic process","46/1005","261/25730",0.176245210727969,4.51222813137378,11.4980279037634,7.80462901417673e-18,2.00578965664342e-14,1.63650747328843e-14,"69499/66942/66420/26914/20044/195434/69663/72181/67223/66161/77591/66580/237886/67239/235036/30946/70930/66489/75416/18148/20019/17975/57750/217995/14113/70683/21453/72515/67205/18114/110109/64934/28071/72462/73674/216987/207932/76130/21340/59014/69639/65961/102216272/217109/98956/20088",46
"GO:0042274","ribosomal small subunit biogenesis","28/1005","107/25730",0.261682242990654,6.69958618124332,11.9109543349883,6.03133690773821e-16,1.03336905685915e-12,8.43117411944878e-13,"69499/22596/20044/353258/30946/75416/18148/66523/20103/68052/217995/14113/70683/72515/99480/56321/67205/20091/73674/216987/59014/20102/67097/65961/102216272/217109/98956/20088",28
"GO:0006364","rRNA processing","39/1005","217/25730",0.179723502304147,4.60127931769723,10.740691518905,1.28285677825627e-15,1.64847096005931e-12,1.344974053835e-12,"69499/66942/20044/195434/69663/72181/67223/66161/77591/66580/67239/235036/30946/70930/66489/75416/18148/17975/57750/217995/14113/70683/72515/67205/18114/110109/64934/72462/73674/216987/207932/76130/59014/69639/65961/102216272/217109/98956/20088",39
"GO:0042273","ribosomal large subunit biogenesis","17/1005","69/25730",0.246376811594203,6.30773667892422,8.90068559220577,8.81575252333515e-10,9.06259359398853e-07,7.39409643220363e-07,"66942/100019/67223/67239/235036/66489/18148/231452/57750/225215/110109/64934/66282/207932/76130/59014/66596",17
"GO:0000470","maturation of LSU-rRNA","11/1005","29/25730",0.379310344827586,9.71109967404358,9.46287940367265,5.54231316526193e-09,4.20335995573043e-06,3.42948721352243e-06,"66942/67223/67239/235036/66489/18148/57750/110109/64934/207932/76130",11
"GO:0048872","homeostasis of number of cells","45/1005","443/25730",0.101580135440181,2.60065361679189,6.85136182240387,5.72442017317373e-09,4.20335995573043e-06,3.42948721352243e-06,"68632/72049/218476/245607/54324/20677/14766/18578/12043/14255/14062/216892/17260/12571/20044/319757/78248/16590/17761/14461/15511/21929/21814/237339/12151/14732/15526/83396/17319/12229/17129/22695/110279/17863/18015/15361/14057/67155/106298/18477/20851/59003/20088/210293/11740",45
"GO:0030098","lymphocyte differentiation","47/1005","486/25730",0.0967078189300412,2.47591261798006,6.62256193815963,1.24630875798698e-08,8.00753377006638e-06,6.53328169976335e-06,"103743/12515/16450/13024/16205/20677/13653/14369/16431/12043/14255/20230/12571/16590/14025/17305/16162/12393/17685/382051/67596/13482/50932/15242/21929/11352/19934/18514/74734/12193/328365/12151/18018/11920/14998/12229/16157/75725/17863/15361/15519/15201/67155/20851/269023/210293/11740",47
"GO:0008033","tRNA processing","22/1005","137/25730",0.160583941605839,4.11126847514254,7.36145239591252,1.7715792241553e-08,1.01176857912869e-05,8.25493757781836e-06,"17299/106248/233802/66966/72181/66161/68626/67724/67049/28088/68916/78697/15108/67053/28114/230233/74195/212528/98956/58523/240174/14911",22
"GO:0006399","tRNA metabolic process","27/1005","203/25730",0.133004926108374,3.4051907947945,6.93623816858796,2.86282032595337e-08,1.42007564852961e-05,1.15862817606839e-05,"17299/66420/106248/233802/66966/72181/66161/237886/68626/66044/67724/67049/28088/68916/78697/15108/67053/28114/230233/107508/74195/69639/212528/98956/58523/240174/14911",27
"GO:0009451","RNA modification","23/1005","153/25730",0.150326797385621,3.84866517087764,7.12506209563022,3.03907239957698e-08,1.42007564852961e-05,1.15862817606839e-05,"17299/78895/106248/233802/66966/72181/14113/67049/110109/68916/78697/15108/28114/230233/110532/74195/15384/212528/98956/58523/116940/240174/14911",23
"GO:0016358","dendrite development","36/1005","334/25730",0.107784431137725,2.75949593350612,6.52537050940968,4.27951781672235e-08,1.83306013149607e-05,1.49557885805455e-05,"574437/106042/19329/19091/109904/98733/20620/12322/13844/66515/17260/27083/29819/228662/329165/14025/52463/67102/70237/665113/217692/19280/50932/11352/243725/239985/68703/17344/15182/17999/50772/17127/67095/71974/14360/210293",36
"GO:0006400","tRNA modification","17/1005","90/25730",0.188888888888889,4.8359314538419,7.34952745283072,6.38427276541871e-08,2.52424323186555e-05,2.05950953015612e-05,"17299/106248/233802/66966/72181/67049/68916/78697/15108/28114/230233/74195/212528/98956/58523/240174/14911",17
"GO:0072001","renal system development","39/1005","395/25730",0.0987341772151899,2.52779142263367,6.16919496121862,1.25464536250959e-07,4.60634083092808e-05,3.75827603326182e-05,"14048/21687/71461/14734/100503085/106042/218476/12490/11600/20317/20677/13653/226154/12043/17260/231931/544696/76260/319757/235041/13841/11898/24063/18613/16348/18514/12151/99929/83396/72345/17129/19206/17127/18015/68927/11746/23908/15201/11677",39
"GO:1901888","regulation of cell junction assembly","34/1005","325/25730",0.104615384615385,2.67836203597398,6.13894952305026,2.06358313244632e-07,6.81410860910221e-05,5.55957581377497e-05,"21687/226352/574437/225875/80749/106042/21826/19329/11856/330814/18189/74762/99633/170757/13844/107581/17260/27083/29819/13841/244895/70237/232370/217692/19280/54216/18391/243725/68606/17127/108911/140580/26921/210293",34
"GO:0032259","methylation","25/1005","197/25730",0.126903553299492,3.24898350885168,6.38843963682894,2.31888879212802e-07,6.81410860910221e-05,5.55957581377497e-05,"70779/17299/207965/13436/66902/99890/72181/226830/69726/214572/13435/57344/14113/69740/110109/71449/27374/15108/28114/212528/110147/71974/116940/240174/14911",25
"GO:0061484","hematopoietic stem cell homeostasis","10/1005","32/25730",0.3125,8.00062189054726,7.98892387147642,2.32865706337018e-07,6.81410860910221e-05,5.55957581377497e-05,"68632/245607/54324/20677/14766/78248/14461/12151/83396/67155",10
"GO:0042113","B cell activation","34/1005","327/25730",0.103975535168196,2.66198061679371,6.09794721732486,2.3862637152498e-07,6.81410860910221e-05,5.55957581377497e-05,"72049/16205/50931/16431/12043/14255/13844/17260/16590/14025/17305/17685/12575/13482/22256/15242/21929/227059/12193/12151/18018/71675/11920/17319/12229/75725/17863/15361/15510/20947/67199/20851/210293/11740",34
"GO:0000463","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","8/1005","19/25730",0.421052631578947,10.7797852841058,8.59751555916055,2.71288781876162e-07,7.01802065497091e-05,5.72594599414378e-05,"66942/67239/235036/66489/18148/57750/64934/207932",8
