"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030218","erythrocyte differentiation","33/586","177/25730",0.186440677966102,8.18620929021808,14.6456491019957,8.82845368428225e-21,3.79182085739923e-17,3.12898984789246e-17,"544763/20533/11656/15129/216635/241525/15122/105463053/19824/13828/13829/216781/14151/70026/19743/19746/114601/208638/11518/13423/22761/21349/100900/66154/11983/16596/18174/14381/230257/210035/14460/14582/20687",33
"GO:0034101","erythrocyte homeostasis","33/586","189/25730",0.174603174603175,7.66644997020424,14.042668871778,7.39999914124124e-20,1.58914981558156e-16,1.31135774255575e-16,"544763/20533/11656/15129/216635/241525/15122/105463053/19824/13828/13829/216781/14151/70026/19743/19746/114601/208638/11518/13423/22761/21349/100900/66154/11983/16596/18174/14381/230257/210035/14460/14582/20687",33
"GO:0002262","myeloid cell homeostasis","33/586","236/25730",0.139830508474576,6.13965696766356,12.1091657096697,7.75876903852428e-17,1.11079710068206e-13,9.1662369658636e-14,"544763/20533/11656/15129/216635/241525/15122/105463053/19824/13828/13829/216781/14151/70026/19743/19746/114601/208638/11518/13423/22761/21349/100900/66154/11983/16596/18174/14381/230257/210035/14460/14582/20687",33
"GO:0048821","erythrocyte development","19/586","63/25730",0.301587301587302,13.2420499485346,14.8518291300645,1.12101996189562e-16,1.20369518408542e-13,9.93282687290142e-14,"544763/20533/11656/15129/216635/15122/105463053/13828/13829/216781/19743/19746/21349/16596/18174/14381/230257/210035/14460",19
"GO:0006778","porphyrin-containing compound metabolic process","17/586","49/25730",0.346938775510204,15.2333356550811,15.22445809799,3.13910914038006e-16,2.69649475158647e-13,2.22513273171783e-13,"11656/20739/14151/19044/15288/15467/22276/216792/22275/68066/15199/233016/74104/17025/66154/11983/18174",17
"GO:0006779","porphyrin-containing compound biosynthetic process","14/586","32/25730",0.4375,19.2096843003413,15.7351475899981,2.8021433157418e-15,1.71931507730157e-12,1.41876940512822e-12,"11656/20739/14151/19044/15288/22276/216792/22275/68066/74104/17025/66154/11983/18174",14
"GO:0033014","tetrapyrrole biosynthetic process","14/586","32/25730",0.4375,19.2096843003413,15.7351475899981,2.8021433157418e-15,1.71931507730157e-12,1.41876940512822e-12,"11656/20739/14151/19044/15288/22276/216792/22275/68066/74104/17025/66154/11983/18174",14
"GO:0042168","heme metabolic process","15/586","41/25730",0.365853658536585,16.0638474985432,14.7366007247957,7.080884728156e-15,3.80154998842876e-12,3.1370182736449e-12,"11656/14151/19044/15288/22276/216792/22275/68066/15199/233016/74104/17025/66154/11983/18174",15
"GO:0061515","myeloid cell development","22/586","113/25730",0.194690265486726,8.54843094022773,12.276508000332,1.05556761123352e-14,4.66189676005516e-12,3.84697172749359e-12,"544763/20533/11656/15129/216635/15122/105463053/13828/13829/216781/19743/19746/22761/328572/21349/18472/16596/18174/14381/230257/210035/14460",22
"GO:0033013","tetrapyrrole metabolic process","17/586","59/25730",0.288135593220339,12.6514143576098,13.6781177230102,1.08542415833647e-14,4.66189676005516e-12,3.84697172749359e-12,"11656/20739/14151/19044/15288/15467/22276/216792/22275/68066/15199/233016/74104/17025/66154/11983/18174",17
