"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0140236","translation at presynapse","38/4127","48/11732",0.791666666666667,2.25050480575075,6.39507073128658,5.23737916206439e-10,2.47585801758457e-06,2.27623468341339e-06,"19951/20044/19934/269261/270106/27176/67891/100038991/19982/19941/66489/54127/26451/67281/65019/20005/19989/67097/67671/20088/19943/22121/67115/66480/54217/26961/19896/27207/68193/19944/78294/19981/27370/68436/20055/57808/20103/19942",38
"GO:0140241","translation at synapse","38/4127","49/11732",0.775510204081633,2.20457613624563,6.22429616994155,1.54053463081691e-09,2.47585801758457e-06,2.27623468341339e-06,"19951/20044/19934/269261/270106/27176/67891/100038991/19982/19941/66489/54127/26451/67281/65019/20005/19989/67097/67671/20088/19943/22121/67115/66480/54217/26961/19896/27207/68193/19944/78294/19981/27370/68436/20055/57808/20103/19942",38
"GO:0140242","translation at postsynapse","38/4127","49/11732",0.775510204081633,2.20457613624563,6.22429616994155,1.54053463081691e-09,2.47585801758457e-06,2.27623468341339e-06,"19951/20044/19934/269261/270106/27176/67891/100038991/19982/19941/66489/54127/26451/67281/65019/20005/19989/67097/67671/20088/19943/22121/67115/66480/54217/26961/19896/27207/68193/19944/78294/19981/27370/68436/20055/57808/20103/19942",38
"GO:0034101","erythrocyte homeostasis","95/4127","164/11732",0.579268292682927,1.64671083347616,6.14381405105777,1.86014877354212e-09,2.47585801758457e-06,2.27623468341339e-06,"14151/11733/56199/101488143/20679/56484/19743/12183/13828/19746/11518/15129/12484/70026/19824/52065/216781/226419/19645/20533/67017/67739/15122/20514/98366/11656/208638/21349/544763/16909/13423/114601/11717/241525/14645/56417/15368/13829/56419/20846/12571/56215/20044/216635/11983/22761/26362/16590/16658/100900/15526/230257/76044/16596/66154/23871/15902/17863/224792/20068/16452/14381/11740/20085/238247/100038882/20687/105463053/20088/93686/18174/18477/12053/15511/271564/11655/20850/14460/20104/14582/14461/21814/234549/17129/18795/20851/59003/17089/15361/22695/237339/14057/16825/193740/19354",95
"GO:0002262","myeloid cell homeostasis","112/4127","204/11732",0.549019607843137,1.56072159903457,5.95141901073752,5.08939893273115e-09,5.41919198357213e-06,4.98225369204207e-06,"14151/11733/56199/101488143/20679/56484/19743/12183/13828/19746/11518/15129/12484/70026/19824/52065/216781/226419/19645/20533/67017/67739/15122/20514/98366/11656/16409/208638/21349/544763/16909/16952/13423/114601/11717/241525/14645/56417/15368/13829/56419/20846/12772/12765/12571/56215/20044/216635/11983/22761/26362/16590/16658/100900/15526/230257/14728/76044/16596/66154/23871/15902/17863/16889/224792/20068/16452/18578/14381/11740/20085/238247/100038882/108156/20687/14127/105463053/20088/218476/26570/17289/93686/18174/18477/12053/15511/271564/11655/20850/14460/20104/14582/14461/21814/234549/17129/18795/20851/74769/59003/14130/17089/15361/22695/237339/14057/12229/18015/17480/16825/193740/19354",112
"GO:0030218","erythrocyte differentiation","89/4127","154/11732",0.577922077922078,1.64288389100601,5.91576990998533,7.0374886035031e-09,6.24459822084175e-06,5.74110912391042e-06,"14151/11733/56199/101488143/20679/56484/19743/12183/13828/19746/11518/15129/70026/19824/52065/216781/226419/19645/20533/67017/67739/15122/20514/98366/11656/208638/21349/544763/16909/13423/114601/241525/14645/56417/15368/13829/56419/20846/12571/56215/20044/216635/11983/22761/16590/16658/100900/15526/230257/76044/16596/66154/23871/15902/17863/224792/16452/14381/11740/20085/238247/100038882/20687/105463053/93686/18174/12053/15511/271564/11655/20850/14460/20104/14582/14461/21814/234549/17129/18795/20851/59003/17089/15361/22695/237339/14057/16825/193740/19354",89
"GO:0006956","complement activation","25/4127","29/11732",0.862068965517241,2.45064044183384,5.76162939701412,1.99030687938984e-08,1.51377054655307e-05,1.391718344235e-05,"12266/404711/12509/380795/14134/238447/16016/11801/12258/12259/12260/14133/12946/18636/83433/12262/16019/13136/17221/12628/18673/12261/232371/98870/16176",25
"GO:0042254","ribosome biogenesis","150/4127","304/11732",0.493421052631579,1.40266920026016,5.24004758381149,1.96296688940903e-07,0.000130635446490171,0.000120102579417789,"217869/99375/57444/66878/217038/24014/14645/100019/56200/55989/20044/18148/20115/20091/27176/17975/100038991/16785/20054/19941/18813/66481/18432/20102/209011/72515/19782/66489/54127/67025/20068/217995/59050/56095/68052/13205/75617/75422/19989/320790/67097/69237/20085/104662/67671/208768/99480/231452/67134/77591/20088/216987/245474/18114/57750/67115/66235/230737/70930/67223/66942/225348/64934/20116/195434/67239/225215/18572/75416/27207/73674/68193/235036/66249/110109/57741/70683/78294/78796/14113/97112/353258/229317/74112/72554/56321/192119/67920/76846/20104/66580/276919/67205/18519/67493/69499/269470/22596/20055/69639/27993/66596/234549/106298/72462/57315/20826/12261/72662/76130/66362/57808/207704/227715/20103/17089/57815/52521/229504/66523/98956/382038/207932/69126/71990/52202/20935/19942/12181/65961/67674/67832/59014/227656/69663/66161/30946/217109/101612/271842/66282/213773/67619/74035/72181/67014/21771/67842/68966/66583",150
"GO:0048872","homeostasis of number of cells","173/4127","365/11732",0.473972602739726,1.34738225717045,4.96668112101884,7.15679468597453e-07,0.000423364165645871,0.000389229184675808,"14151/20739/11733/56199/101488143/20679/56484/19743/12183/13828/19746/11518/15129/12484/70026/19824/16423/52065/216781/226419/19645/14055/21672/20533/67017/67739/15122/20514/98366/11656/16409/208638/21349/381305/544763/16909/16952/13423/114601/20239/11717/241525/14645/14042/56417/53945/15368/13829/56419/20846/12772/12765/12571/56215/20044/216635/11983/22761/54683/26362/14792/319817/16590/16658/100900/15526/18733/17260/230257/14728/12043/14766/76044/16596/66154/100502841/23871/16149/14255/12442/15902/227331/17863/16889/224792/20068/16452/20677/68632/77609/18578/14381/11740/20085/12775/238247/100038882/108156/20687/14127/105463053/20088/218476/75974/83396/16151/26570/17289/93686/13051/18174/383619/245607/14062/18477/12044/12053/54324/15511/19056/210293/12151/72049/17319/271564/21929/17761/12818/11655/20850/51792/67155/14460/20104/14582/238875/14102/216892/319757/14461/21814/234549/106298/17129/18795/20851/74769/59003/207615/14130/17089/15361/22695/237339/14057/12229/24099/83945/18089/18015/17480/16825/22164/193740/110006/21821/19354/257632/83408/78248/14732/11622/110279",173
"GO:0097529","myeloid leukocyte migration","93/4127","177/11732",0.525423728813559,1.49364458115839,4.87473683358298,1.41312492175346e-06,0.000752347708341543,0.000691687461700378,"20201/16423/18708/12215/20202/13143/17524/16409/16414/68891/18472/16177/12771/16952/245195/15235/12772/12765/11820/14131/12182/17395/102103/100038947/19141/16590/17101/13861/19261/68279/16415/12768/16149/12770/21825/20312/14289/16854/17916/11501/14595/20299/83433/19152/18578/12267/58218/20085/12775/14127/56715/14205/22121/13051/27226/80795/58217/20315/13052/54324/17319/18613/16803/76763/12273/109700/19277/105722/12261/20750/12986/19218/18795/20851/13482/19271/64095/20310/14254/20302/19252/18015/20947/22341/100952/98870/19354/16176/257632/14747/17390/110279/11629",93
