"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007059","chromosome segregation","148/1725","372/10973",0.397849462365591,2.53078385538414,12.9725533240569,3.49330614861997e-30,1.73966646201275e-26,1.60655311192849e-26,"12316/76464/70099/108000/16551/21973/381293/11799/218977/14211/54392/71865/71819/233406/54141/13605/78658/16571/68298/228421/72119/76044/80912/110033/26934/100502766/22210/67203/268697/12236/70218/108912/52276/76123/56419/104318/12190/209737/72415/21335/68549/12189/17345/70454/215387/105988/101706/66977/20842/66442/71988/214444/67052/70799/16580/18005/12617/19357/18817/51944/12534/20878/68014/16211/21969/20460/229841/208628/54204/16563/108907/12235/66140/13018/72776/22385/20877/56208/192176/67241/102920/68094/77053/52563/67141/209334/13424/22137/59008/12447/12442/26951/16319/14841/67139/76789/381318/30939/66468/22154/73804/17120/107995/72155/217232/18140/21749/77044/72057/74201/71878/17865/60411/68612/70385/259279/52683/12237/20587/214901/19822/50878/76478/56150/17535/73420/74237/76707/320394/219114/66934/18519/328580/103733/51885/219103/66336/71876/71909/56742/67629/26992/99152/17687/56456/52023/22038/77045",148
"GO:0098813","nuclear chromosome segregation","115/1725","265/10973",0.433962264150943,2.76050314465409,12.5290776118096,1.59900037804137e-27,3.981510941323e-24,3.67685929034881e-24,"12316/76464/70099/108000/16551/21973/381293/11799/14211/54392/71819/233406/54141/13605/78658/16571/68298/228421/72119/76044/110033/26934/100502766/22210/268697/12236/70218/52276/12190/209737/72415/21335/215387/105988/101706/66977/20842/66442/214444/67052/70799/16580/18005/12617/19357/18817/51944/12534/20878/68014/16211/229841/208628/54204/16563/108907/12235/66140/22385/20877/56208/192176/102920/68094/77053/52563/67141/209334/13424/22137/59008/12447/12442/26951/16319/14841/67139/76789/381318/30939/66468/73804/17120/107995/217232/18140/21749/77044/72057/74201/71878/17865/60411/68612/70385/52683/12237/20587/50878/56150/17535/73420/76707/219114/66934/18519/103733/56742/67629/26992/99152/17687/56456/52023/77045",115
"GO:0000819","sister chromatid segregation","96/1725","205/10973",0.468292682926829,2.97888441145281,12.3521732134546,3.34691002019105e-26,5.55587063351715e-23,5.13075434323323e-23,"76464/70099/16551/21973/381293/11799/14211/54392/71819/233406/54141/78658/16571/68298/228421/72119/76044/110033/26934/100502766/268697/12236/70218/52276/209737/21335/215387/105988/101706/66977/20842/66442/214444/67052/70799/16580/18005/12617/19357/18817/51944/12534/68014/16211/229841/208628/16563/108907/12235/66140/22385/20877/56208/192176/102920/68094/52563/67141/209334/22137/59008/26951/16319/14841/67139/76789/381318/66468/73804/17120/107995/217232/18140/77044/72057/74201/17865/60411/68612/70385/52683/12237/20587/56150/73420/76707/219114/18519/103733/56742/67629/26992/99152/56456/52023/77045",96
"GO:0000070","mitotic sister chromatid segregation","85/1725","173/10973",0.491329479768786,3.12542514869733,12.1694381403654,3.9571778755059e-25,4.92668645500485e-22,4.54971319423297e-22,"76464/70099/16551/381293/11799/14211/54392/71819/233406/54141/78658/16571/68298/228421/72119/76044/110033/26934/100502766/268697/12236/70218/52276/209737/215387/105988/101706/66977/20842/66442/214444/67052/70799/16580/18005/12617/19357/18817/51944/12534/68014/16211/229841/208628/16563/108907/12235/66140/22385/20877/56208/192176/102920/52563/67141/209334/22137/59008/26951/16319/14841/67139/76789/381318/66468/73804/17120/107995/18140/74201/17865/60411/68612/70385/52683/12237/56150/73420/76707/219114/18519/103733/56742/67629/52023",85
"GO:0000280","nuclear division","129/1725","341/10973",0.378299120234604,2.40642101236772,11.3945870461266,5.4939900206847e-24,5.47201406060196e-21,5.05331418955189e-21,"12316/76464/70099/16551/21973/381293/11799/14211/54392/71819/233406/54141/78658/16571/68298/228421/72119/76044/110033/26934/100502766/22210/67203/268697/12236/70218/108912/52276/22187/12190/209737/72415/68549/234396/17345/215387/105988/101706/66977/20842/66442/214444/12576/67052/70799/16580/18005/12617/19357/18817/51944/12534/20878/68014/16211/229841/208628/54204/16563/60530/108907/12235/66140/56637/224826/22385/20877/56208/56371/192176/102920/77053/52563/67141/209334/22137/71943/59008/12447/12442/26951/16319/14841/72549/67139/76789/381318/77744/30939/66468/73804/22629/17120/107995/77891/18140/21749/67121/52864/74201/17865/60411/68612/70385/52683/12237/66197/214901/19362/50878/56150/17535/73420/76707/67655/14087/268465/104806/219114/18519/103733/66214/623474/56742/67629/105837/17687/52023/74386",129
"GO:0051276","chromosome organization","159/1725","467/10973",0.340471092077088,2.16579089470254,11.1192101835312,1.15601665495208e-23,9.59493823610229e-21,8.86076625523798e-21,"76464/70099/16551/217653/21973/381293/11799/218977/14211/54392/71865/71819/233406/54141/78658/16571/68298/228421/72119/76044/110033/26934/100502766/22210/268697/224171/12236/70218/52276/12190/209737/72415/21335/68549/215387/105988/101706/66977/20842/66442/71988/214444/208084/67052/70799/16580/328572/18005/12144/12617/19357/18817/51944/12534/68014/103677/16211/21969/229841/208628/16563/16905/14957/108907/12235/50708/66140/218973/18538/22385/20877/59125/56208/192176/67241/102920/68094/77053/52563/67141/74355/209334/22137/59008/12615/12447/26951/16319/14841/67139/76789/381318/269966/67849/30939/66468/73804/71521/17120/22427/18854/107995/72155/100710/217232/18140/21749/77044/72057/52864/22590/74201/17865/60411/68612/70385/52683/15354/12237/20587/11991/19822/50878/97165/56150/17535/73420/19090/76707/67459/170762/56702/320394/219114/16825/80838/53379/18519/14375/73747/103733/14156/66336/105377/50754/28113/269400/56742/67629/26992/68964/219249/99152/17687/56456/52023/66181/22059/77045",159
"GO:0048285","organelle fission","138/1725","392/10973",0.352040816326531,2.23938775510204,10.7919622134101,3.7713994385578e-22,2.68308131485969e-19,2.47778107474572e-19,"12316/76464/70099/16551/21973/381293/11799/14211/54392/75734/71819/233406/54141/78658/16571/68298/228421/72119/76044/110033/26934/100502766/22210/67203/268697/12236/70218/108912/52276/22187/12190/209737/72415/68549/234396/17345/215387/105988/101706/66977/20842/66442/214444/12576/67052/70799/16580/18005/12617/19357/18817/51944/12534/20878/68943/68014/16211/229841/208628/54204/16563/60530/108907/12235/66140/56637/224826/22385/20877/56208/56371/192176/102920/77053/52563/67141/54396/209334/22137/71943/67472/59008/12447/12442/26951/16319/14841/72549/67139/76789/381318/77744/30939/66468/73804/22228/22629/17120/107995/77891/18140/21749/67121/52864/74201/19765/17865/60411/68612/70385/52683/12237/66197/214901/19362/50878/56150/17535/73420/223601/76707/67655/14087/268465/104806/219114/18519/103733/67453/66214/623474/56742/67629/105837/14245/17687/52023/74386",138
"GO:0044772","mitotic cell cycle phase transition","134/1725","376/10973",0.356382978723404,2.26700894233734,10.7968153496081,4.37180471972397e-22,2.70056938190743e-19,2.49393101449029e-19,"76464/108000/381293/11799/12428/12449/268697/12236/52276/20135/21335/12189/66977/66442/214444/20133/12580/12576/67052/70799/77011/12914/16906/12144/14235/14056/19357/18817/12534/68014/19650/27214/12021/20460/229841/208628/12581/19192/12452/12235/320595/56637/72776/404710/99375/12445/20877/234736/269582/21423/56371/237877/68094/52563/67141/28010/209334/22137/194655/59008/12447/12442/26951/16319/12532/14841/66468/72611/54601/17120/24100/107995/77891/217232/77044/16952/67121/230809/20184/72057/225182/381921/104394/68612/70385/11820/50523/52679/12237/66197/20587/69581/79263/234664/67628/75826/72508/56150/18763/17535/67153/27401/20555/13383/19090/76707/18392/67655/219114/106795/66214/12571/19055/219103/19186/18715/15902/22390/50754/268930/67629/26992/68964/105837/54124/99152/56456/67333/22591/68145/109019/22059/269424/77045",134
"GO:0140014","mitotic nuclear division","98/1725","235/10973",0.417021276595745,2.65273882207832,11.0608880958632,4.88054707573632e-22,2.70056938190743e-19,2.49393101449029e-19,"76464/70099/16551/381293/11799/14211/54392/71819/233406/54141/78658/16571/68298/228421/72119/76044/110033/26934/100502766/67203/268697/12236/70218/108912/52276/209737/17345/215387/105988/101706/66977/20842/66442/214444/12576/67052/70799/16580/18005/12617/19357/18817/51944/12534/20878/68014/16211/229841/208628/16563/108907/12235/66140/22385/20877/56208/192176/102920/52563/67141/209334/22137/71943/59008/26951/16319/14841/72549/67139/76789/381318/77744/66468/73804/22629/17120/107995/77891/18140/74201/17865/60411/68612/70385/52683/12237/56150/73420/76707/67655/219114/18519/103733/66214/56742/67629/105837/52023",98
"GO:0051983","regulation of chromosome segregation","61/1725","117/10973",0.521367521367521,3.31650191998018,10.8793817639746,4.72048485734938e-20,2.35080145895999e-17,2.17092614123784e-17,"76464/70099/11799/14211/54392/78658/68298/76044/80912/268697/12236/52276/21335/215387/101706/66977/66442/214444/67052/70799/19357/18817/12534/68014/229841/208628/12235/20877/56208/67241/68094/52563/67141/209334/22137/59008/26951/16319/14841/66468/73804/17120/107995/217232/77044/72057/68612/70385/52683/12237/20587/214901/56150/219114/18519/67629/26992/99152/56456/22038/77045",61
