"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006778","porphyrin-containing compound metabolic process","32/4068","42/12271",0.761904761904762,2.29826286463455,5.93496558793674,1.3132310839663e-08,4.0022998401353e-05,3.51388595028417e-05,"15288/56199/15467/14151/19044/26357/11656/22275/22276/68066/216792/67739/74104/11733/12892/20739/11983/20741/233016/14664/15368/17025/66154/394436/69772/18174/15199/11655/237926/53328/11306/15369",32
"GO:0048514","blood vessel morphogenesis","215/4068","475/12271",0.452631578947368,1.36534958339802,5.71892547347703,1.47089299527207e-08,4.0022998401353e-05,3.51388595028417e-05,"242705/13197/26357/239528/11518/232341/12491/16423/381290/15258/12215/22221/246707/192197/17872/50785/14775/21928/21349/56208/14048/11600/17168/23970/12490/11555/14205/16878/14766/12772/21687/15200/20684/54601/108961/17064/12509/15368/66923/17268/14370/12189/15410/74144/672511/11909/19877/18854/16476/12394/12767/22341/50767/68545/15400/13854/238328/11826/13655/20677/18816/330267/14472/16399/11607/12771/18741/13846/21390/20620/16477/13051/11689/21752/21413/18186/15446/13058/14595/14645/59308/57278/66864/66214/18751/16414/51801/20315/80898/65255/16153/14268/11848/12765/18803/21954/14886/52679/11816/70945/16971/20846/19225/21810/67154/18054/109905/16952/54598/114715/22601/20296/20698/242687/17395/14367/381823/99929/14235/16854/12306/20351/17999/16451/71602/77446/14824/21826/236511/320500/18132/12266/16542/18764/18607/23991/319197/57257/269878/12370/21846/66515/12796/19274/18596/19883/17975/19211/243362/20317/228852/13857/72630/94192/11745/11421/17304/83964/17129/18613/12654/74769/414758/319757/13835/23876/14182/26365/13713/15370/13805/13844/15402/15364/15242/12826/14164/353156/16847/13642/12168/17125/20563/15586/15213/24071/16159/18792/27494/22344/16973/12827/14366/12778/70086/76905/69601/14360/19016/19242/11852/17390/21813/229700/15404/320790/230738/230103/20496/21385/68169/12159/14254/11501/16173",215
"GO:0001525","angiogenesis","187/4068","409/12271",0.45721271393643,1.37916843970352,5.49213587736775,5.31028328953093e-08,9.6328538872091e-05,8.45732486006347e-05,"242705/13197/26357/239528/11518/232341/12491/16423/381290/15258/12215/22221/246707/192197/17872/50785/14775/21928/21349/56208/11600/23970/12490/11555/14205/16878/14766/12772/21687/15200/20684/54601/108961/17064/12509/15368/17268/14370/12189/15410/74144/672511/11909/19877/18854/16476/12394/12767/22341/50767/68545/15400/13854/238328/11826/13655/330267/14472/16399/11607/12771/18741/13846/21390/20620/13051/11689/21752/21413/18186/13058/14595/14645/59308/57278/66864/66214/18751/16414/51801/20315/80898/16153/14268/11848/12765/18803/14886/52679/70945/20846/19225/21810/67154/18054/16952/54598/114715/20296/20698/242687/17395/14367/381823/16854/12306/20351/16451/14824/21826/236511/320500/18132/12266/16542/18607/23991/319197/57257/12370/21846/12796/19274/18596/19883/17975/19211/243362/20317/228852/72630/94192/11745/11421/17304/83964/17129/18613/12654/74769/13835/23876/14182/26365/13713/15370/13805/13844/15402/15364/15242/12826/14164/353156/16847/13642/12168/17125/20563/15586/24071/16159/18792/27494/22344/12827/14366/12778/70086/76905/69601/14360/19016/19242/11852/17390/21813/229700/15404/230738/230103/20496/68169/12159/14254/11501/16173",187
"GO:0002262","myeloid cell homeostasis","105/4068","209/12271",0.502392344497608,1.51545144034664,5.29270436478116,1.97813070143534e-07,0.000269124681930278,0.000236282506679342,"101488143/56199/15129/12183/20679/14151/56484/20533/20514/12484/544763/11518/11656/19645/98366/216781/52065/241525/226419/67017/13828/21349/19824/67739/19743/15122/208638/11733/11717/216635/11983/93686/56419/114601/19746/16590/13423/12772/15368/56215/70026/26362/56417/13829/66154/100038882/230257/76044/22761/100900/105463053/12978/14645/16909/12571/18578/12765/18174/14127/14381/16452/16409/20846/69188/14460/26934/16952/20296/16596/17480/15526/97165/22695/20068/11655/14130/14013/271564/17289/17863/50875/14582/15902/83964/17129/74769/237339/320404/17311/16889/16969/15402/18795/50794/14728/20850/15978/16825/20851/59003/20104/12159/15414/16173/14088",105
"GO:0006779","porphyrin-containing compound biosynthetic process","24/4068","31/12271",0.774193548387097,2.33533162051575,5.24210443546189,5.44663015598113e-07,0.000494009355147489,0.000433723759263129,"15288/56199/14151/19044/26357/11656/22275/22276/68066/216792/74104/11733/12892/20739/11983/20741/14664/17025/66154/18174/11655/237926/53328/11306",24
"GO:0033014","tetrapyrrole biosynthetic process","24/4068","31/12271",0.774193548387097,2.33533162051575,5.24210443546189,5.44663015598113e-07,0.000494009355147489,0.000433723759263129,"15288/56199/14151/19044/26357/11656/22275/22276/68066/216792/74104/11733/12892/20739/11983/20741/14664/17025/66154/18174/11655/237926/53328/11306",24
"GO:0042168","heme metabolic process","27/4068","37/12271",0.72972972972973,2.20120784501315,5.15301232906087,8.16259804782761e-07,0.000634583693946827,0.000557143346452474,"15288/56199/14151/19044/26357/11656/22275/22276/68066/216792/67739/74104/12892/11983/233016/14664/15368/17025/66154/394436/69772/18174/15199/11655/53328/11306/15369",27
"GO:0007411","axon guidance","72/4068","136/12271",0.529411764705882,1.59695471108797,4.9296642975444,1.37205908198559e-06,0.000804271850923314,0.000706123896272833,"22241/12215/30957/108151/14042/11603/20320/20352/170822/17260/16777/77579/12767/12661/16779/19699/14472/71436/11820/18186/12978/20315/16971/226251/57764/20361/18007/13643/105689/68193/231876/17967/20351/214968/13508/16774/16572/68810/108655/58235/19277/15399/269878/11787/19274/21375/13723/19649/13841/319757/76260/232906/11658/13639/117606/13844/230316/53328/13642/12168/20563/226519/17181/17128/16564/20360/243743/75847/93691/16728/13641/20266",72
"GO:0034101","erythrocyte homeostasis","84/4068","165/12271",0.509090909090909,1.53565745955126,4.87815046990074,1.60590095785894e-06,0.000804271850923314,0.000706123896272833,"101488143/56199/15129/12183/20679/14151/56484/20533/20514/12484/544763/11518/11656/19645/98366/216781/52065/241525/226419/67017/13828/21349/19824/67739/19743/15122/208638/11733/11717/216635/11983/93686/56419/114601/19746/16590/13423/15368/56215/70026/26362/56417/13829/66154/100038882/230257/76044/22761/100900/105463053/14645/16909/12571/18174/14381/16452/20846/69188/14460/26934/16596/15526/97165/22695/20068/11655/271564/17863/50875/14582/15902/17129/237339/16969/15402/18795/50794/20850/16825/20851/59003/20104/12159/15414",84
"GO:0048872","homeostasis of number of cells","168/4068","377/12271",0.445623342175066,1.34420944735257,4.78030813455242,1.85997583207108e-06,0.000804271850923314,0.000706123896272833,"101488143/56199/15129/12183/20679/14151/56484/20533/20514/12484/544763/11518/11656/19645/21672/16423/98366/216781/14055/52065/241525/226419/67017/13828/21349/19824/67739/18089/53945/19743/15122/208638/11733/381305/14042/20739/11717/216635/11983/93686/56419/114601/19746/16590/14766/13423/20239/12772/72049/68632/15368/100502841/12442/56215/70026/12044/14792/17260/245607/14255/26362/56417/13829/66154/100038882/230257/76044/20677/22761/15377/227331/100900/105463053/83396/13051/319817/54324/12978/21929/14645/19056/59308/216892/12043/16909/12571/67155/18578/12765/18174/14127/14381/16452/16409/20846/83691/80859/17761/69188/14460/26934/16952/20296/22164/16596/17480/75974/15526/97165/78248/215653/22695/320405/20068/11655/14056/14130/14013/271564/20482/17289/332579/17863/108670/50875/16453/14582/15902/18733/68926/12151/12818/11576/20849/83964/17129/210293/74769/237339/319757/320404/17311/16889/16969/54683/15402/18795/140795/50794/17356/14728/16196/110279/20850/15978/238875/16149/16825/66720/20851/59003/20104/77609/12159/15414/16173/74008/14088",168
