"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","method","direction","gene_ratio","bg_ratio","fold_enrichment"
"GO:0007059","chromosome segregation","136/1056","372/11010",0.365591397849462,3.81170576735093,17.9687731305755,3.71124533165217e-47,1.59175312274562e-43,1.49973377139081e-43,"12316/76464/381293/16551/70099/11799/71819/108000/218977/54392/21973/13605/14211/16571/78658/110033/228421/108912/67203/70218/26934/72119/54141/233406/76044/72415/76123/52276/68298/268697/100502766/70454/68549/215387/209737/12236/12190/12189/71988/21335/66977/56419/105988/70799/17345/214444/67052/16580/66442/20842/20878/101706/18817/12534/12617/12235/51944/19357/68014/18005/16211/20877/208628/209334/72776/20460/102920/108907/68094/229841/77053/73804/52563/381318/22385/67139/66140/12442/22137/70385/14841/71878/13018/67241/12447/59008/72155/68612/16319/67141/22154/13424/74201/217232/60411/12237/76789/66468/50878/26951/107995/77044/72057/259279/56150/20587/17687/18140/17120/214901/73420/52683/19822/66934/17865/219114/21749/74237/320394/76478/76707/18519/17535/103733/328580/51885/71909/56742/71876/66336/56456/77045/219103/67629/74187/26886",136,"DESeq2","Up in CFUE",0.128787878787879,0.0337874659400545,3.81170576735093
"GO:0051276","chromosome organization","148/1056","467/11010",0.316916488222698,3.30421452209461,16.5731981630697,1.33917671993914e-42,2.87186447590948e-39,2.70584180412966e-39,"76464/217653/381293/16551/70099/11799/71819/218977/54392/21973/14211/16571/78658/110033/228421/208084/70218/26934/72119/54141/233406/76044/72415/52276/224171/68298/268697/100502766/68549/215387/209737/12236/12190/71988/21335/66977/105988/70799/214444/67052/16580/66442/20842/101706/12144/18817/12534/12617/12235/51944/19357/68014/18005/16211/20877/208628/209334/16905/102920/18538/108907/68094/229841/77053/73804/52563/381318/22385/14957/67139/66140/74355/22137/218973/12615/50708/70385/67849/14841/67241/12447/59008/72155/68612/16319/67141/269966/74201/217232/71521/60411/100710/12237/76789/66468/50878/26951/18854/107995/22427/77044/72057/52864/56150/20587/17687/15354/18140/17120/73420/52683/97165/19822/17865/219114/21749/11991/56702/320394/76707/170762/80838/14156/67459/18519/53379/17535/16825/103733/19366/14375/56742/105377/50754/269400/66336/28113/56456/68964/77045/227525/67629/51797/21750/74187/214627/16434/26886",148,"DESeq2","Up in CFUE",0.140151515151515,0.0424159854677566,3.30421452209461
"GO:0098813","nuclear chromosome segregation","107/1056","265/11010",0.40377358490566,4.20979845626072,17.2267982542133,9.26031609610171e-42,1.32391652453934e-38,1.24738082431349e-38,"12316/76464/381293/16551/70099/11799/71819/108000/54392/21973/13605/14211/16571/78658/110033/228421/70218/26934/72119/54141/233406/76044/72415/52276/68298/268697/100502766/215387/209737/12236/12190/21335/66977/105988/70799/214444/67052/16580/66442/20842/20878/101706/18817/12534/12617/12235/51944/19357/68014/18005/16211/20877/208628/209334/102920/108907/68094/229841/77053/73804/52563/381318/22385/67139/66140/12442/22137/70385/14841/71878/12447/59008/68612/16319/67141/13424/74201/217232/60411/12237/76789/66468/50878/26951/107995/77044/72057/56150/20587/17687/18140/17120/73420/52683/66934/17865/219114/21749/76707/18519/17535/103733/56742/56456/77045/67629/74187",107,"DESeq2","Up in CFUE",0.101325757575758,0.0240690281562216,4.20979845626072
"GO:0000280","nuclear division","122/1056","341/11010",0.357771260997067,3.73017195414556,16.6806284834532,4.09214904904792e-41,4.38780681784163e-38,4.1341474208671e-38,"12316/76464/381293/16551/70099/11799/71819/54392/21973/14211/16571/78658/110033/228421/108912/234396/67203/70218/26934/72119/54141/233406/76044/72415/52276/68298/268697/100502766/68549/215387/209737/12236/12190/66977/105988/70799/17345/214444/67052/16580/66442/20842/20878/101706/18817/12534/12617/12235/51944/72549/19357/68014/18005/16211/20877/208628/209334/60530/56637/102920/108907/229841/77053/73804/52563/77744/381318/22385/67139/66140/12442/22137/70385/14841/71943/12447/59008/68612/16319/67141/74201/60411/22629/12237/76789/66468/50878/26951/67121/107995/52864/77891/56150/17687/18140/17120/214901/73420/52683/17865/19362/219114/21749/76707/18519/66197/17535/103733/268465/66214/19366/67655/104806/56742/623474/14087/74386/17864/105837/18032/67629/74187",122,"DESeq2","Up in CFUE",0.115530303030303,0.0309718437783833,3.73017195414556
"GO:0000819","sister chromatid segregation","91/1056","205/11010",0.44390243902439,4.62818736141907,17.0789563206786,1.33718304844905e-39,1.1470356189596e-36,1.08072541536756e-36,"76464/381293/16551/70099/11799/71819/54392/21973/14211/16571/78658/110033/228421/70218/26934/72119/54141/233406/76044/52276/68298/268697/100502766/215387/209737/12236/21335/66977/105988/70799/214444/67052/16580/66442/20842/101706/18817/12534/12617/12235/51944/19357/68014/18005/16211/20877/208628/209334/102920/108907/68094/229841/73804/52563/381318/22385/67139/66140/22137/70385/14841/59008/68612/16319/67141/74201/217232/60411/12237/76789/66468/26951/107995/77044/72057/56150/20587/18140/17120/73420/52683/17865/219114/76707/18519/103733/56742/56456/77045/67629/74187",91,"DESeq2","Up in CFUE",0.0861742424242424,0.0186194368755677,4.62818736141907
"GO:0000226","microtubule cytoskeleton organization","137/1056","486/11010",0.281893004115226,2.93905490086046,14.240488820776,3.28609626404769e-33,1.56600743072228e-30,1.47547643949463e-30,"12316/16551/11799/71819/218977/16571/228421/67203/70218/26934/72119/12449/22146/54141/75786/233406/72415/76123/52276/80986/319675/268697/20873/100502766/101565/381644/209737/226751/237436/12190/227613/12189/21335/66977/56419/105988/70799/19348/214444/67052/16580/66442/20842/20878/101706/18817/67886/12534/51944/18005/225659/17427/109242/103573/16211/20877/216846/68121/209334/72776/60530/16905/20460/56637/108907/229841/77053/73804/77744/66140/12442/12615/70385/99167/18541/17257/227634/236266/277939/231912/16319/67141/22154/13424/74201/22143/106618/76789/66468/26951/107995/22350/19878/338349/233064/104394/259279/56150/75296/11603/74470/18140/108686/73420/18763/19822/67463/99100/17865/219114/74237/13542/76478/76707/225523/18519/103733/320244/13383/328580/56427/76895/22390/51885/71909/56742/22151/230101/246102/17997/219103/246103/17245/78767/74187/26886/68475",137,"DESeq2","Up in CFUE",0.129734848484848,0.044141689373297,2.93905490086046
"GO:0051983","regulation of chromosome segregation","56/1056","117/11010",0.478632478632479,4.99028749028749,14.1328725483388,8.88597527510955e-27,3.17599566291207e-24,2.99239114746891e-24,"76464/70099/11799/54392/14211/78658/76044/52276/68298/268697/215387/12236/21335/66977/70799/214444/67052/66442/101706/18817/12534/12235/19357/68014/20877/208628/209334/68094/229841/73804/52563/22137/70385/14841/67241/59008/68612/16319/67141/217232/12237/66468/26951/107995/77044/72057/56150/20587/17120/214901/52683/219114/18519/56456/77045/67629",56,"DESeq2","Up in CFUE",0.053030303030303,0.0106267029972752,4.99028749028749
"GO:1905818","regulation of chromosome separation","43/1056","70/11010",0.614285714285714,6.40462662337662,14.7745115547345,1.07224194314733e-26,3.53757361089146e-24,3.33306625080373e-24,"76464/70099/11799/54392/14211/78658/76044/52276/68298/268697/215387/12236/66977/70799/214444/67052/66442/101706/18817/12235/19357/68014/20877/208628/209334/229841/52563/22137/70385/14841/59008/68612/16319/67141/12237/66468/26951/107995/56150/17120/52683/219114/67629",43,"DESeq2","Up in CFUE",0.040719696969697,0.00635785649409628,6.40462662337662
"GO:1901990","regulation of mitotic cell cycle phase transition","89/1056","289/11010",0.30795847750865,3.21081708084303,12.4048398398555,1.16018130240337e-24,3.31734507067202e-22,3.12556913679054e-22,"76464/381293/11799/108000/52276/268697/12236/77011/12580/12189/20135/66977/70799/27214/20133/214444/67052/66442/12144/18817/12581/12534/12235/19357/68014/16906/12021/19650/20877/28010/208628/14056/209334/72776/20460/12445/68094/229841/21423/52563/234736/237877/22137/12532/70385/14841/269582/12447/59008/194655/68612/16319/67141/12237/66468/26951/230809/107995/77044/225182/72057/56150/20587/20184/17120/18763/234664/268930/219114/381921/67628/67153/52679/18392/75826/17535/79263/13383/66214/22390/12545/67333/56456/68964/77045/68145/219103/105837/67629",89,"DESeq2","Up in CFUE",0.084280303030303,0.0262488646684832,3.21081708084303
"GO:0050000","chromosome localization","51/1056","107/11010",0.476635514018692,4.96946686491079,13.4387272784032,2.20733421596566e-24,5.91703528267294e-22,5.57497108887642e-22,"76464/381293/11799/108000/13605/110033/228421/67203/26934/54141/72415/52276/268697/100502766/12190/66977/67052/16580/66442/101706/12534/12617/51944/18005/16211/20877/16905/229841/77053/73804/52563/381318/67139/66140/22137/70385/71878/16319/269966/13424/12237/66468/26951/17120/66934/219114/21749/18519/56742/67629/74187",51,"DESeq2","Up in CFUE",0.0482954545454545,0.00971843778383288,4.96946686491079
