"gene_id","gene_label","fold_change","padj"
"ENSMUSG00000075184.2","F930017D23Rik",18.991106571206,2.90928962554615e-32
"ENSMUSG00000082101.3","Slfn14",17.4605827405475,3.54853917037069e-95
"ENSMUSG00000091650.1","Apol11a",17.3964746153592,4.34526506222726e-27
"ENSMUSG00000085483.1","ENSMUSG00000085483",16.3770386026344,1.12714467111986e-23
"ENSMUSG00000073063.3","Hbq1b",15.7530139568341,4.13330712963745e-22
"ENSMUSG00000090113.3","Nhlrc4",15.6435507491129,9.54551161019552e-22
"ENSMUSG00000035448.8","Ccr3",15.4637755347622,3.44837013100683e-21
"ENSMUSG00000076612.3","Ighg2c",15.371595275612,7.86483452820166e-21
"ENSMUSG00000050982.8","Apol10a",15.3378685184646,1.264346145189e-20
"ENSMUSG00000006574.11","Slc4a1",15.2446300554827,7.28092296995633e-84
"ENSMUSG00000078763.2","Slfn1",15.1277154572172,4.58596731700367e-20
"ENSMUSG00000081662.1","ENSMUSG00000081662",14.9752247529108,3.53244426013839e-19
"ENSMUSG00000101249.1","ENSMUSG00000101249",14.9450015810622,5.49385631464797e-97
"ENSMUSG00000025270.9","Alas2",14.9403807737982,0
"ENSMUSG00000099519.1","ENSMUSG00000099519",14.8375470433663,1.41380336716623e-08
"ENSMUSG00000069814.6","Ccdc92b",14.7788222728478,1.66712984604784e-45
"ENSMUSG00000050157.5","Gm867",14.7151238022509,1.00778692650798e-18
"ENSMUSG00000097405.1","D630044L22Rik",14.5378578754882,3.46810437595792e-18
"ENSMUSG00000000706.11","Btn1a1",14.4516706687901,2.06509907786366e-17
"ENSMUSG00000099338.1","ENSMUSG00000099338",14.0759959191319,7.71376417573429e-17
