"gene_id","gene_label","fold_change","padj"
"ENSMUSG00000082101.3","Slfn14",17.4777235676832,2.84251137201044e-05
"ENSMUSG00000075184.2","F930017D23Rik",16.1100535799559,3.47896612796485e-05
"ENSMUSG00000091694.4","Apol11b",15.7585289132885,0.000145803158717661
"ENSMUSG00000006574.11","Slc4a1",15.2060242026309,6.49633988833682e-06
"ENSMUSG00000101249.1","ENSMUSG00000101249",14.9200337414652,0.000216406750840731
"ENSMUSG00000025270.9","Alas2",14.6979118817545,1.11618054284984e-05
"ENSMUSG00000091650.1","Apol11a",14.6942585081899,2.44221413461805e-05
"ENSMUSG00000069814.6","Ccdc92b",14.4796734170822,7.94736536806058e-06
"ENSMUSG00000042453.10","Reln",13.9317309199184,0.00028918859155425
"ENSMUSG00000046942.13","Mageb16",13.8360439856053,0.00014597847930767
"ENSMUSG00000085483.1","ENSMUSG00000085483",13.7627346471392,3.23435478564316e-05
"ENSMUSG00000052305.5","Hbb-b1",13.5249443369232,2.48115739460779e-06
"ENSMUSG00000073063.3","Hbq1b",13.1587300518148,1.92079243339568e-05
"ENSMUSG00000090113.3","Nhlrc4",13.0611486924257,2.04468236927105e-05
"ENSMUSG00000069917.7","Hba-a2",13.01446611939,1.07332266948651e-06
"ENSMUSG00000035448.8","Ccr3",12.8773953953718,2.17296011449037e-05
"ENSMUSG00000034059.9","Ypel4",12.8617694138701,4.81665534234985e-05
"ENSMUSG00000076612.3","Ighg2c",12.8252444974031,2.47281331069795e-05
"ENSMUSG00000006586.11","Runx1t1",12.7812196226746,6.30431822125781e-05
"ENSMUSG00000050982.8","Apol10a",12.7242188424622,2.87147266480076e-05
