"seqnames","start","end","width","strand","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","log2FoldChange","padj","pvalue","peak_key","source_method"
"chr1",4857037,4857189,153,"*","Promoter (<=1kb)",1,4857814,4897905,40092,1,"21399","ENSMUST00000081551.13",-625,6.13923164500303,0.0400222346006036,0.00222977464933511,"chr1:4857037:4857189","limma_voom"
"chr1",4873690,4873862,173,"*","Intron (ENSMUST00000155020.1/18777, intron 8 of 9)",1,4858038,4897909,39872,1,"21399","ENSMUST00000165720.2",15652,-6.75700196161716,0.0223008829886003,0.000737148625346738,"chr1:4873690:4873862","limma_voom"
"chr1",9747377,9747739,363,"*","Promoter (<=1kb)",1,9747648,9791922,44275,1,"73331","ENSMUST00000181821.7",0,7.97119041470683,0.0214782944073522,0.000392997342762388,"chr1:9747377:9747739","limma_voom"
"chr1",9784157,9784308,152,"*","Intron (ENSMUST00000181821.7/73331, intron 2 of 3)",1,9798107,9900843,102737,1,"170755","ENSMUST00000166384.7",-13799,-7.27096528786204,0.0214782944073522,0.000375477349839139,"chr1:9784157:9784308","limma_voom"
"chr1",9798094,9798246,153,"*","Promoter (<=1kb)",1,9798107,9900843,102737,1,"170755","ENSMUST00000166384.7",0,-6.72775409196973,0.0245181128053037,0.000924084756222472,"chr1:9798094:9798246","limma_voom"
"chr1",9798509,9798681,173,"*","Promoter (<=1kb)",1,9798208,9900008,101801,1,"170755","ENSMUST00000188298.6",301,6.64099635326392,0.0229658625705145,0.00080629708089406,"chr1:9798509:9798681","limma_voom"
"chr1",13373574,13373865,292,"*","Promoter (<=1kb)",1,13165925,13374029,208105,2,"17978","ENSMUST00000143603.7",164,-7.21056146667812,0.0216570744003162,0.000664545550459262,"chr1:13373574:13373865","limma_voom"
"chr1",15805293,15805448,156,"*","Promoter (<=1kb)",1,15805646,15844052,38407,1,"21749","ENSMUST00000188371.6",-198,6.42391079294713,0.0245475326149475,0.000928533335299698,"chr1:15805293:15805448","limma_voom"
"chr1",16665356,16665514,159,"*","Promoter (<=1kb)",1,16665236,16665811,576,1,"70397","ENSMUST00000176451.1",120,6.63483353171946,0.0218172224596522,0.000681665319776446,"chr1:16665356:16665514","limma_voom"
"chr1",20819982,20820274,293,"*","Promoter (<=1kb)",1,20802973,20820260,17288,2,"17215","ENSMUST00000185296.1",0,7.33364930833362,0.0214782944073522,0.000255597937658399,"chr1:20819982:20820274","limma_voom"
